hd,ra,dec,flamsteed,bayer,const,propername,mag
104207,180.0196,19.4194,,,,,6.94
104208,180.0238,17.9202,,,,,8.88
104206,180.0318,26.0418,,,,,9.29
104243,180.0600,5.3635,,,,,8.4
104217,180.0610,16.6044,,,,,8.56
104279,180.1335,4.0999,,,,,8.16
104290,180.1584,18.3347,,,,,7.84
104319,180.2001,29.1872,,,,,8.36
104351,180.2567,7.9151,,,,,8.35
104350,180.2646,13.0083,,,,,8.51
104349,180.2716,27.9621,,,,,8.76
104367,180.2919,3.6323,,,,,7.78
104381,180.3074,12.3778,,,,,6.93
104392,180.3233,24.2178,,,,,8.19
104406,180.3482,25.7164,,,,,9.0
104407,180.3653,6.5061,,,,,7.86
104426,180.3729,2.3624,,,,,8.82
104439,180.4113,11.0694,,,,,8.84
104451,180.4333,29.5485,,,,,8.52
104453,180.4367,13.4104,,,,,8.96
104484,180.4873,0.1021,,,,,7.79
104528,180.5886,0.5637,,,,,7.96
104558,180.6212,21.7468,,,,,8.57
104575,180.6461,8.0698,,,,,7.59
104574,180.6628,11.8775,,,,,8.87
104590,180.6756,24.4465,,,,,7.74
104591,180.6886,7.8241,,,,,9.12
104589,180.6938,25.3262,,,,,8.14
104603,180.6946,24.8361,,,,,8.28
104605,180.7024,14.7785,,,,,9.17
104604,180.7203,15.0882,,,,,9.99
104624,180.7224,4.1461,,,,,9.14
104622,180.7223,12.8074,,,,,7.48
104621,180.7320,27.0058,,,,,9.26
104688,180.8272,29.1206,,,,,8.3
104710,180.8883,29.6791,,,,,7.35
104742,180.9345,25.1059,,,,,9.36
104755,180.9352,5.5578,,,,,6.39
104754,180.9575,19.3839,,,,,8.8
104785,181.0044,18.8146,,,,,7.7
104784,181.0094,24.9389,,,,,8.29
104797,181.0212,28.0606,,,,,8.59
104800,181.0232,3.3408,,,,,9.21
104798,181.0286,9.6986,,,,,8.53
104815,181.0502,24.1194,,,,,8.58
104817,181.0536,1.4620,,,,,7.68
104829,181.0728,7.4056,,,,,9.83
104828,181.0728,9.1931,,,,,9.85
104830,181.0768,7.3991,,,,,9.17
104831,181.0784,4.9318,,,,,7.12
104863,181.1545,3.1617,,,,,7.87
104864,181.1644,0.7596,,,,,9.3
104883,181.1768,16.2690,,,,,7.7
104884,181.1791,3.5731,,,,,7.14
104924,181.2229,9.1724,,,,,9.52
