hd,ra,dec,flamsteed,bayer,const,propername,mag
65863,120.0127,-23.3509,,,,,7.54
65846,120.0428,-16.9534,,,,,7.02
65845,120.0697,-13.8392,,,,,8.88
65944,120.0766,-26.5917,,,,,7.97
65882,120.0806,-18.0044,,,,,7.7
65841,120.1182,-8.0379,,,,,8.82
65826,120.1207,-4.8798,,,,,7.27
65919,120.1222,-17.9301,,,,,7.46
65903,120.1260,-17.0339,,,,,7.65
65880,120.1708,-7.0907,,,,,8.48
65875,120.1839,-2.8819,,,,,6.41
65860,120.1900,-0.7081,,,,,9.52
65877,120.1959,-4.7587,,,,,8.06
65996,120.2262,-15.7389,,,,,7.42
66058,120.2263,-27.2265,,,,,8.5
66015,120.2275,-19.4825,,,,,8.4
65994,120.2592,-14.1381,,,,,7.34
65938,120.2642,-6.4192,,,,,6.45
66034,120.2752,-19.1336,,,,,8.83
66153,120.2819,-29.8776,,,,,8.85
66183,120.3000,-29.5586,,,,,8.35
66149,120.3092,-25.4134,,,,,7.17
66097,120.3274,-22.3370,,,,,7.06
66033,120.3288,-12.2307,,,,,9.1
66051,120.3527,-12.7933,,,,,8.81
66014,120.3824,-4.7656,,,,,9.03
66180,120.3830,-21.3646,,,,,8.95
66072,120.3945,-9.8894,,,,,9.06
66126,120.3954,-15.2555,,,,,7.45
66032,120.4292,-0.0354,,,,,8.91
66094,120.4354,-8.5932,,,,,7.28
66291,120.4552,-28.4079,,,,,8.46
66247,120.4733,-20.4916,,,,,8.64
66222,120.4846,-18.5072,,,,,9.11
66306,120.4880,-27.2148,,,,,6.82
66273,120.4910,-20.8594,,,,,8.8
66179,120.5022,-9.3568,,,,,7.14
66122,120.5111,-2.9806,,,,,8.28
66121,120.5153,-2.2826,,,,,8.25
66221,120.5224,-12.8046,,,,,8.06
66201,120.5291,-7.5827,,,,,9.11
66377,120.5762,-26.0650,,,,,7.95
66242,120.6082,-6.3371,,,,,6.34
66396,120.6136,-22.2088,,,,,8.97
66376,120.6199,-20.3183,,,,,7.68
66433,120.6487,-25.0369,,,,,7.4
66353,120.6488,-15.2740,,,,,9.15
66454,120.6559,-27.5443,,,,,6.89
66268,120.6678,-2.3972,,,,,7.69
66351,120.6934,-6.3225,,,,,6.89
66350,120.7551,-2.7305,,,,,8.69
66393,120.7682,-7.4449,,,,,9.64
66555,120.7955,-24.6068,,,,,7.72
66492,120.8086,-16.2995,,,,,9.09
66578,120.8132,-27.2711,,,,,8.09
66491,120.8495,-13.2037,,,,,8.53
66428,120.8694,-1.1627,,,,,8.25
66488,120.8838,-8.1734,,,,,7.43
66698,120.9251,-29.4190,,,,,7.74
66670,120.9597,-22.6983,,,,,8.57
66644,120.9898,-16.3423,,,,,8.36
66669,121.0047,-15.6739,,,,,8.52
66740,121.0055,-26.9733,,,,,7.17
66691,121.0184,-19.3673,,,,,9.23
66789,121.0204,-29.1733,,,,,7.38
66722,121.0210,-21.3764,,,,,7.82
66575,121.0229,-3.9171,,,,,9.05
66739,121.0240,-21.8165,,,,,8.03
66643,121.0359,-10.4287,,,,,7.7
66594,121.0422,-4.8269,,,,,7.61
66592,121.0587,-1.8528,,,,,8.04
66838,121.0920,-28.4168,,,,,9.34
66640,121.1152,-1.5951,,,,,8.06
66738,121.1184,-13.1359,,,,,8.05
66784,121.1309,-18.9837,,,,,7.39
66783,121.1355,-17.6655,,,,,6.54
66885,121.1360,-25.6997,,,,,6.35
66884,121.1602,-24.3638,,,,,7.85
66932,121.1615,-29.9660,,,,,7.35
66781,121.1818,-12.0294,,,,,8.37
66910,121.1916,-23.8406,,,,,8.56
66735,121.2048,-5.4118,,,,,7.34
66964,121.2122,-28.1940,,,,,9.97
66734,121.2191,-1.0075,,,,,9.01
66961,121.2313,-26.5157,,,,,8.66
66778,121.2443,-3.4958,,,,,6.98
66929,121.2550,-22.4345,,,,,7.67
66904,121.2581,-15.9188,,,,,8.75
66831,121.2616,-8.8902,,,,,8.01
67022,121.2707,-28.0807,,,,,9.46
67053,121.2993,-28.1285,,,,,9.62
66991,121.3040,-19.3985,,,,,8.56
66988,121.3387,-14.6743,,,,,8.78
66987,121.3484,-14.2846,,,,,8.63
66954,121.3550,-9.9276,,,,,8.01
66956,121.3716,-10.1230,,,,,6.97
67015,121.3820,-13.5725,,,,,7.48
67122,121.3876,-25.2216,,,,,8.18
66983,121.4129,-8.4501,,,,,8.09
67162,121.4160,-29.9920,,,,,8.22
67072,121.4425,-16.3630,,,,,9.67
66950,121.4568,-0.5733,,,,,6.4
67011,121.4580,-6.4449,,,,,9.03
67185,121.4871,-26.8197,,,,,9.69
67140,121.4951,-19.8925,,,,,6.97
67010,121.5147,-0.7765,,,,,8.51
67049,121.5273,-2.7799,,,,,9.01
67182,121.5303,-20.5234,,,,,8.85
67114,121.5575,-7.7577,,,,,8.49
67213,121.5720,-18.3732,,,,,7.59
67292,121.6028,-22.2269,,,,,7.85
67158,121.6096,-9.2373,,,,,7.93
67111,121.6097,-2.3938,,,,,7.32
67159,121.6142,-9.2445,,,,,6.25
67290,121.6290,-20.3344,,,,,8.13
67288,121.6634,-17.2972,,,,,7.74
67375,121.7026,-21.6387,,,,,8.17
67409,121.7148,-27.1143,,,,,7.06
