hd,ra,dec,flamsteed,bayer,const,propername,mag
224854,0.3278,70.9289,,,,,7.73
224891,0.4001,72.2366,,,,,7.21
224890,0.4140,73.6118,,,,,6.5
224917,0.4551,76.1756,,,,,8.66
225019,0.6744,82.9732,,,,,7.29
225020,0.6933,80.2823,,,,,7.74
225044,0.7320,71.3585,,,,,8.49
225093,0.8500,73.1745,,,,,7.36
225114,0.9087,70.3060,,,,,8.11
56,1.4391,81.0715,,,,,9.21
162,1.6670,70.1693,,,,,8.26
174,1.7755,85.4049,,,,,8.2
204,1.7878,72.7752,,,,,8.42
219,1.8072,73.2103,,,,,7.88
326,2.0417,71.1595,,,,,8.51
370,2.1832,74.2148,,,,,7.44
245,2.1982,86.7879,,,,,8.41
431,2.3329,79.7145,,,,,6.01
486,2.5219,84.1520,,,,,8.38
678,2.8420,74.4845,,,,,7.15
826,3.2543,72.5220,,,,,10.59
919,3.5107,76.0270,,,,,7.17
947,3.5933,76.0222,,,,,7.72
1007,3.7963,78.0173,,,,,8.17
815,4.0218,88.4012,,,,,9.12
1141,4.0579,76.9508,,,,,6.35
1165,4.2189,81.6636,,,,,8.67
1119,4.2618,84.9551,,,,,7.8
1360,4.5612,72.9468,,,,,7.56
1359,4.6149,76.2765,,,,,7.18
1467,4.8255,73.1226,,,,,7.31
1500,4.9464,74.2765,,,,,8.4
1631,5.4256,78.4795,,,,,8.9
1709,5.4786,71.2443,,,,,8.74
1731,5.5597,71.5082,,,,,7.61
1901,6.0709,77.8336,,,,,8.44
2083,6.4635,71.8071,,,,,6.91
2169,6.7805,80.0521,,,,,6.53
2520,7.5076,75.2429,,,,,8.41
2590,7.6095,72.5310,,,,,9.19
2534,7.7111,81.3751,,,,,8.15
2589,7.7266,77.0194,,,,,6.18
2770,8.1815,78.1115,,,,,8.88
2904,8.3301,70.9818,,,,,6.41
2939,8.4447,74.4939,,,,,8.99
3036,8.7702,77.5009,,,,,8.31
2972,8.8968,83.6317,,,,,7.94
3162,8.9986,72.4987,,,,,8.25
3199,9.1353,75.5304,,,,,8.01
3065,9.3770,85.0927,,,,,7.95
3366,9.4404,72.8949,,,,,6.96
3161,9.5613,84.6750,,,,,7.11
1687,9.9342,89.4443,,,,,8.12
3440,9.9487,82.4938,,,,,6.38
3553,9.9978,76.8711,,,,,6.73
3660,10.1068,70.7082,,,,,7.3
3891,10.6668,71.3659,,,,,7.22
3890,10.7210,74.0652,,,,,8.32
3826,10.7405,79.1964,,,,,7.91
4042,11.0125,70.8234,,,,,6.75
4012,11.0910,77.2100,,,,,7.81
4075,11.2665,75.9378,,,,,7.19
4381,12.0109,76.5538,,,,,8.5
4440,12.0373,72.6745,,,,,5.86
4429,12.1942,78.4673,,,,,7.11
4635,12.4419,70.4495,,,,,7.75
4652,12.4821,71.1758,,,,,7.54
4667,12.5094,70.7742,,,,,6.9
4646,12.5138,73.5884,,,,,8.84
4499,12.5194,81.9672,,,,,7.38
4683,12.6494,75.6023,,,,,8.8
4666,12.7337,77.9535,,,,,6.76
4726,12.7403,73.5673,,,,,7.81
4741,12.9570,78.6258,,,,,8.45
4880,13.0784,71.6383,,,,,8.05
4796,13.1210,79.8405,,,,,7.73
4959,13.3293,74.3128,,,,,7.61
4853,13.7200,83.7074,,,,,5.59
4710,13.8178,85.7026,,,,,8.1
5333,14.1553,70.4535,,,,,8.47
5313,14.3226,77.4710,,,,,8.04
5407,14.4761,75.4938,,,,,7.49
5490,14.5530,70.4964,,,,,6.97
5500,14.7808,77.4660,,,,,8.88
5312,14.8107,83.1027,,,,,7.86
5594,14.8683,72.8139,,,,,8.93
5580,14.8772,73.9877,,,,,8.27
5534,15.1235,80.5454,,,,,6.67
5715,15.1288,70.9830,,,,,6.4
5714,15.2816,76.8579,,,,,8.47
5837,15.4080,70.5213,,,,,7.77
5679,15.5765,81.8756,,,,,6.9
5786,15.6264,79.4033,,,,,8.37
6015,15.7806,70.3219,,,,,8.03
6007,15.8546,74.1893,,,,,8.4
