hd,ra,dec,flamsteed,bayer,const,propername,mag
208925,330.0514,-27.2991,,,,,9.6
208965,330.0542,-12.2249,,,,,9.22
208979,330.0788,-17.3863,,,,,7.87
208990,330.1027,-12.8533,,,,,8.8
208980,330.1290,-20.8189,,,,,8.96
209038,330.1453,-8.5261,,,,,8.29
209028,330.1592,-13.7459,,,,,7.53
209029,330.1621,-14.1643,,,,,7.72
209012,330.1760,-23.2972,,,,,7.77
209030,330.2193,-26.5257,,,,,8.53
209080,330.2711,-13.0275,,,,,7.35
209066,330.2759,-20.9483,,,,,9.97
209068,330.2992,-24.6040,,,,,10.06
209107,330.3003,-11.3436,,,,,9.13
209069,330.3027,-25.0107,,,,,8.08
209056,330.3109,-28.3244,,,,,8.9
209096,330.3113,-19.3127,,,,,8.94
209108,330.3276,-17.5166,,,,,7.74
209131,330.3630,-14.3270,,,,,7.6
209154,330.3869,-15.6120,,,,,7.02
209195,330.3978,-6.2130,,,,,8.07
209169,330.4137,-19.0278,,,,,10.59
209133,330.4199,-24.8657,,,,,8.34
209224,330.4429,-1.1284,,,,,7.95
209225,330.4549,-3.5977,,,,,8.67
209208,330.4601,-9.8747,,,,,8.19
209247,330.4796,-0.3237,,,,,9.1
209249,330.5313,-9.2823,,,,,8.23
209240,330.5494,-17.9035,,,,,6.28
209227,330.5547,-23.6166,,,,,7.48
209252,330.6208,-26.1977,,,,,9.77
209321,330.6380,-0.9183,,,,,7.8
209280,330.6721,-27.3674,,,,,6.91
209348,330.7016,-2.4790,,,,,8.51
209359,330.7185,-3.4719,,,,,9.0
209360,330.7539,-8.5000,,,,,7.35
209325,330.7859,-27.0512,,,,,7.76
209335,330.8212,-29.9046,,,,,7.14
209365,330.8342,-25.6516,,,,,9.43
209383,330.8459,-14.9518,,,,,7.91
209385,330.8662,-21.7016,,,,,9.56
209444,330.8753,-5.6926,,,,,7.62
209445,330.8807,-5.8902,,,,,7.85
209386,330.9129,-29.3466,,,,,7.39
209460,330.9131,-7.7846,,,,,8.14
209448,330.9408,-15.9136,,,,,8.8
209426,330.9706,-24.8463,,,,,8.33
209490,331.0249,-13.0196,,,,,7.49
209475,331.0414,-21.7800,,,,,7.85
209491,331.0463,-17.8124,,,,,8.14
209520,331.1068,-20.4121,,,,,8.19
209532,331.1162,-14.4469,,,,,7.36
209506,331.1249,-25.8832,,,,,6.73
209560,331.1312,-8.7173,,,,,7.26
209582,331.1459,-4.8401,,,,,7.75
209522,331.1532,-26.8224,,,,,5.97
209523,331.1631,-28.4350,,,,,6.99
209571,331.1658,-10.8845,,,,,9.11
209548,331.1845,-25.1204,,,,,8.67
209562,331.2072,-23.7296,,,,,8.88
209585,331.2180,-19.0756,,,,,8.81
209587,331.2252,-22.2449,,,,,8.58
209603,331.2349,-12.9944,,,,,9.22
209645,331.2640,-6.3025,,,,,7.77
209656,331.2719,-3.2103,,,,,8.82
209589,331.2965,-28.1819,,,,,8.72
209628,331.3311,-23.4385,,,,,8.86
209697,331.3318,-1.4242,,,,,8.29
209684,331.3798,-13.7702,,,,,9.84
209712,331.3850,-7.6952,,,,,8.01
209713,331.3966,-9.8973,,,,,9.07
209717,331.4506,-18.6682,,,,,7.64
209718,331.4679,-19.7739,,,,,8.74
209778,331.5099,-3.1062,,,,,7.97
209779,331.5222,-5.3580,,,,,7.57
209733,331.5438,-28.0246,,,,,8.53
209767,331.5549,-14.8960,,,,,7.12
209741,331.5564,-29.0709,,,,,7.59
209740,331.5605,-28.7044,,,,,7.44
209783,331.5935,-23.1006,,,,,8.95
209820,331.6184,-14.0876,,,,,8.8
209860,331.6250,-1.2931,,,,,8.51
209879,331.6874,-15.6445,,,,,9.87
209907,331.6935,-6.7294,,,,,8.0
209878,331.7036,-12.5122,,,,,8.96
209837,331.7227,-29.6140,,,,,7.86
209882,331.7891,-28.0477,,,,,9.0
209925,331.8130,-22.2407,,,,,6.83
209950,331.8255,-10.4469,,,,,6.87
209951,331.8554,-19.5703,,,,,7.47
210000,331.8971,-14.4908,,,,,6.7
209967,331.9062,-24.3936,,,,,7.81
209979,331.9096,-20.7593,,,,,7.41
210043,331.9235,-5.8287,,,,,7.68
209970,331.9346,-28.1476,,,,,7.16
210030,331.9434,-10.0786,,,,,7.47
210016,331.9628,-21.5931,,,,,7.92
210045,331.9683,-16.0014,,,,,8.62
210033,331.9686,-17.9311,,,,,8.71
210076,331.9733,-5.4971,,,,,8.34
210121,332.0496,-3.5313,,,,,7.68
210081,332.0616,-23.7322,,,,,7.84
210094,332.0639,-17.8360,,,,,7.84
210123,332.1090,-16.5430,,,,,7.3
210135,332.1320,-16.6118,,,,,9.07
210151,332.1423,-11.6135,,,,,7.33
210139,332.1910,-25.7703,,,,,7.11
210172,332.1976,-13.3005,,,,,6.91
210171,332.2052,-12.4356,,,,,9.63
210190,332.2447,-17.8945,,,,,9.61
210198,332.2760,-18.4850,,,,,8.24
210253,332.3164,-7.2410,,,,,8.64
210241,332.3256,-11.3662,,,,,7.87
210269,332.3620,-8.1857,,,,,6.99
210244,332.3707,-23.6591,,,,,6.36
210277,332.3744,-7.5487,,,,,6.54
210278,332.3771,-8.8006,,,,,8.67
210314,332.3978,-2.0211,,,,,8.61
210315,332.4114,-6.3933,,,,,8.52
210295,332.4227,-13.6054,,,,,9.55
210281,332.4244,-19.8893,,,,,9.46
210297,332.4303,-14.5610,,,,,9.18
210296,332.4373,-13.8916,,,,,8.02
210300,332.5006,-28.2924,,,,,6.44
210320,332.5352,-27.6741,,,,,8.64
210392,332.5499,-4.9288,,,,,8.73
210357,332.5534,-15.0012,,,,,9.15
210361,332.5758,-20.9942,,,,,8.77
210419,332.5879,-3.8941,,,,,6.28
210393,332.5897,-15.9409,,,,,8.98
210409,332.5914,-9.3877,,,,,8.06
210434,332.6406,-4.2669,,,,,5.98
210410,332.6668,-24.0260,,,,,9.51
210437,332.7289,-24.7143,,,,,8.08
210486,332.7374,-16.2099,,,,,9.56
210451,332.7570,-25.8406,,,,,9.52
210464,332.7599,-21.2328,,,,,6.1
210466,332.7955,-25.3699,,,,,8.19
210488,332.7967,-22.4645,,,,,8.78
210555,332.7989,-5.8937,,,,,9.06
210521,332.8434,-22.2087,,,,,8.09
210524,332.8631,-27.1524,,,,,6.87
210523,332.8708,-26.5022,,,,,10.1
210609,332.9011,-1.0051,,,,,9.2
210632,332.9484,-1.2455,,,,,8.47
210619,332.9587,-9.7453,,,,,8.7
210648,332.9664,-0.3627,,,,,8.51
210585,332.9787,-28.7939,,,,,10.41
210663,333.0495,-14.2252,,,,,8.23
210687,333.0704,-11.0656,,,,,7.25
210703,333.0814,-7.0647,,,,,8.72
210707,333.1379,-18.0272,,,,,8.8
210733,333.1491,-8.0140,,,,,7.12
210678,333.1539,-27.0850,,,,,7.41
210734,333.1605,-10.4260,,,,,8.77
210752,333.1814,-6.4689,,,,,7.44
210763,333.1828,-4.7207,,,,,6.39
210737,333.1945,-20.8905,,,,,7.55
210739,333.2395,-26.3278,,,,,6.19
210776,333.2522,-13.0283,,,,,8.89
210777,333.2575,-15.7513,,,,,10.09
210791,333.2760,-13.8711,,,,,7.62
210758,333.2780,-29.5381,,,,,8.95
210792,333.2782,-16.6218,,,,,9.09
210780,333.2893,-21.4060,,,,,8.34
210803,333.2948,-11.1774,,,,,9.46
210826,333.3007,-3.8724,,,,,9.19
210843,333.3282,-2.7337,,,,,8.95
210862,333.3556,-1.6539,,,,,7.07
210832,333.3659,-19.3811,,,,,10.53
210878,333.3885,-7.3722,,,,,8.69
210834,333.4152,-27.4592,,,,,8.88
210910,333.4259,-3.7758,,,,,8.49
210848,333.4351,-25.1809,,,,,5.58
210849,333.4532,-28.6680,,,,,9.54
210926,333.4645,-4.4513,,,,,7.09
210897,333.4650,-14.8696,,,,,10.19
210880,333.4688,-22.2645,,,,,8.54
210927,333.4763,-4.6442,,,,,8.68
210929,333.4810,-11.5897,,,,,9.07
210899,333.5075,-24.6252,,,,,8.09
210931,333.5277,-21.4113,,,,,7.41
210987,333.5369,-0.6587,,,,,9.49
210988,333.5593,-5.7463,,,,,7.9
211019,333.5806,-5.5587,,,,,8.87
210972,333.5854,-19.2489,,,,,7.1
210950,333.6034,-29.1029,,,,,8.93
211021,333.6279,-12.2537,,,,,8.1
211022,333.6550,-15.1017,,,,,7.23
211038,333.6593,-15.8185,,,,,6.55
211062,333.6751,-6.4005,,,,,7.54
211037,333.6848,-15.7016,,,,,7.94
211079,333.6946,-0.7897,,,,,8.71
211080,333.6950,-5.8865,,,,,7.82
211024,333.6965,-24.0047,,,,,6.89
211099,333.7252,-6.7355,,,,,7.63
211126,333.7634,-2.0590,,,,,7.89
211083,333.7710,-19.8956,,,,,8.65
211065,333.7819,-25.6480,,,,,7.74
211127,333.7892,-8.0540,,,,,9.57
211085,333.7952,-25.9670,,,,,7.91
211105,333.8291,-24.9908,,,,,8.77
211166,333.8756,-10.1147,,,,,9.56
211186,333.8919,-8.3978,,,,,8.69
211157,333.9135,-24.5835,,,,,9.38
211168,333.9194,-21.2765,,,,,8.5
211188,333.9355,-18.1447,,,,,9.66
211250,333.9891,-2.7450,,,,,8.51
211234,334.0029,-14.4360,,,,,7.87
211276,334.0274,-7.0907,,,,,8.72
211236,334.0301,-23.0094,,,,,7.43
