hd,ra,dec,flamsteed,bayer,const,propername,mag
143116,240.0011,-36.2991,,,,,9.77
142948,240.0101,-53.8515,,,,,8.02
142959,240.0656,-55.5635,,,,,9.26
143197,240.0772,-33.6024,,,,,8.91
143119,240.0913,-43.8228,,,,,7.4
143120,240.0960,-45.4527,,,,,7.52
143036,240.1086,-51.9649,,,,,8.91
143215,240.1305,-36.0879,,,,,8.21
143056,240.1307,-52.2647,,,,,8.9
143137,240.1434,-45.9285,,,,,8.06
142921,240.1557,-61.3040,,,,,7.95
143138,240.1818,-47.8894,,,,,8.7
143232,240.1954,-39.0885,,,,,6.67
143153,240.2085,-48.5770,,,,,8.59
142735,240.2108,-68.1164,,,,,8.76
143012,240.2134,-57.6112,,,,,8.54
143248,240.2238,-40.4355,,,,,6.21
143167,240.2268,-47.1766,,,,,9.73
142842,240.2394,-65.8957,,,,,8.33
143280,240.2547,-39.7024,,,,,9.0
143086,240.2657,-55.6316,,,,,8.28
143337,240.2705,-32.6955,,,,,8.01
143101,240.2770,-54.5779,,,,,6.12
143234,240.2847,-45.3612,,,,,8.71
143235,240.2925,-46.5384,,,,,7.59
142941,240.2947,-63.7765,,,,,6.42
143102,240.3036,-56.6949,,,,,7.88
143404,240.3315,-31.8891,,,,,6.33
143428,240.3360,-31.5461,,,,,8.46
142894,240.3555,-66.8486,,,,,7.36
143380,240.3834,-38.2119,,,,,9.01
143443,240.4048,-34.2289,,,,,9.01
143319,240.4103,-44.1575,,,,,8.98
143264,240.4207,-50.9537,,,,,8.73
143462,240.4472,-34.6272,,,,,7.43
143361,240.4599,-44.4345,,,,,9.2
143028,240.4710,-64.4003,,,,,7.81
143058,240.4866,-63.7783,,,,,8.7
143362,240.4932,-46.9039,,,,,8.42
143473,240.4953,-37.5344,,,,,7.39
143321,240.5187,-51.1208,,,,,6.38
143488,240.5202,-36.7439,,,,,6.99
143463,240.5432,-42.7002,,,,,6.91
143538,240.5772,-35.2699,,,,,8.64
143464,240.5895,-44.6819,,,,,10.01
143306,240.6188,-56.8545,,,,,6.51
143088,240.6488,-66.3780,,,,,8.53
143445,240.6770,-50.2567,,,,,8.2
143429,240.6799,-52.5686,,,,,10.14
143637,240.6840,-30.6671,,,,,9.07
143104,240.6856,-66.5587,,,,,9.32
143561,240.6884,-42.5073,,,,,7.97
143544,240.7065,-45.8770,,,,,9.2
143649,240.7157,-30.9445,,,,,7.78
143238,240.7188,-62.5416,,,,,6.25
143287,240.7216,-60.3362,,,,,8.34
330346,240.7246,-50.2085,,,,,9.97
143572,240.7333,-43.4415,,,,,7.36
143673,240.7373,-32.1620,,,,,8.75
143410,240.7394,-56.4254,,,,,7.88
143508,240.7460,-50.0128,,,,,8.57
143185,240.7801,-65.6556,,,,,9.16
143491,240.7852,-52.7388,,,,,9.71
143675,240.8064,-35.2875,,,,,8.06
143340,240.8083,-60.4059,,,,,8.05
143386,240.8114,-59.1484,,,,,8.94
143697,240.8413,-36.8667,,,,,8.98
143289,240.8438,-63.3669,,,,,7.84
143203,240.8457,-66.6206,,,,,7.67
143413,240.8704,-60.4869,,,,,8.4
143811,240.8893,-30.1370,,,,,8.91
143790,240.8932,-32.0005,,,,,6.0
143431,240.9192,-61.4709,,,,,7.54
143324,240.9226,-64.4650,,,,,7.44
143448,240.9353,-60.4985,,,,,7.12
143449,240.9355,-60.5132,,,,,8.1
143677,240.9390,-43.9303,,,,,9.7
143414,240.9556,-62.6933,,,,,10.09
143735,240.9600,-42.4931,,,,,8.32
143625,240.9696,-50.8400,,,,,7.87
143638,240.9734,-50.9427,,,,,8.49
143525,240.9738,-58.1165,,,,,8.45
143700,241.0091,-47.4761,,,,,9.34
143750,241.0100,-43.2815,,,,,8.77
143548,241.0258,-59.1762,,,,,6.4
143844,241.0297,-35.1768,,,,,9.3
143792,241.0334,-41.7110,,,,,8.22
143879,241.0372,-32.4494,,,,,9.49
143846,241.0399,-37.3074,,,,,7.86
143902,241.0743,-33.2137,,,,,6.1
143657,241.0826,-53.1601,,,,,8.4
143658,241.0889,-53.7104,,,,,6.46
143928,241.1535,-37.8630,,,,,5.91
143863,241.1599,-43.3401,,,,,9.04
143927,241.1764,-37.8161,,,,,7.08
143939,241.1854,-39.4347,,,,,6.95
143344,241.1975,-69.0268,,,,,10.47
330319,241.1997,-48.6509,,,,,9.94
143941,241.2115,-40.7377,,,,,7.83
143795,241.2136,-51.9553,,,,,10.6
143865,241.2136,-46.5299,,,,,8.93
143494,241.2331,-65.8591,,,,,7.67
143978,241.2378,-38.9544,,,,,9.16
143883,241.2388,-47.0512,,,,,9.05
143996,241.2546,-39.2167,,,,,7.8
143885,241.2728,-48.8279,,,,,8.32
143905,241.2883,-48.0892,,,,,8.84
143639,241.2975,-61.1542,,,,,8.56
144007,241.3136,-40.3195,,,,,9.15
143796,241.3146,-56.3399,,,,,7.22
143906,241.3224,-50.8448,,,,,9.1
143817,241.3263,-55.8112,,,,,7.49
330338,241.3288,-49.5023,,,,,10.1
143828,241.3321,-54.1796,,,,,7.96
144115,241.3493,-31.4569,,,,,7.07
144075,241.3551,-35.6555,,,,,8.89
143450,241.3665,-69.5958,,,,,9.33
143754,241.3667,-59.2140,,,,,8.47
144116,241.3691,-34.0045,,,,,8.02
144137,241.3788,-32.2380,,,,,8.93
143946,241.3796,-49.7985,,,,,8.75
143682,241.3970,-62.7090,,,,,8.44
144100,241.3992,-37.5133,,,,,10.65
144179,241.4134,-32.8624,,,,,7.84
143549,241.4338,-68.4356,,,,,7.71
144118,241.4428,-39.8433,,,,,7.83
144053,241.4561,-46.0849,,,,,7.68
144119,241.4689,-40.7341,,,,,8.37
143755,241.4715,-62.2353,,,,,8.95
143907,241.4726,-55.8535,,,,,8.7
144225,241.5391,-38.0384,,,,,8.03
143983,241.5556,-55.7773,,,,,7.91
143662,241.5883,-67.5871,,,,,8.81
143832,241.6142,-63.3412,,,,,7.54
144336,241.6170,-31.3426,,,,,9.34
144259,241.6289,-40.4502,,,,,7.22
144240,241.6670,-43.1707,,,,,9.05
144143,241.6797,-49.9182,,,,,8.84
143853,241.6878,-64.5616,,,,,7.11
144227,241.6886,-46.3791,,,,,8.1
144260,241.7085,-44.8850,,,,,8.77
144228,241.7162,-48.4402,,,,,9.46
144370,241.7426,-36.3935,,,,,8.7
143967,241.7569,-62.7627,,,,,7.7
144338,241.8051,-45.3462,,,,,7.38
144350,241.8064,-42.0696,,,,,7.18
144415,241.8175,-36.7557,,,,,5.72
144455,241.8222,-33.7089,,,,,7.94
144337,241.8223,-44.2774,,,,,9.23
143999,241.8292,-62.9106,,,,,8.06
144500,241.8318,-30.4157,,,,,9.66
144183,241.8504,-56.1910,,,,,6.16
144316,241.8547,-48.4224,,,,,6.61
144261,241.8830,-53.6033,,,,,9.02
144550,241.8933,-31.5524,,,,,8.61
144475,241.8948,-36.7197,,,,,6.64
144434,241.8984,-40.3728,,,,,9.68
144243,241.8987,-54.6536,,,,,8.15
144416,241.9016,-42.4761,,,,,9.11
144477,241.9091,-39.0999,,,,,9.22
144570,241.9124,-30.5630,,,,,7.96
144399,241.9336,-46.5253,,,,,7.07
144503,241.9347,-38.0402,,,,,8.14
144383,241.9399,-47.9666,,,,,7.93
144528,241.9493,-37.0100,,,,,8.58
144612,241.9557,-30.6100,,,,,8.35
143952,241.9689,-67.2680,,,,,8.28
144318,241.9721,-53.6936,,,,,8.65
144262,241.9812,-57.1236,,,,,9.7
144320,241.9991,-55.1305,,,,,9.23
144478,242.0162,-43.8288,,,,,8.49
144591,242.0183,-36.2318,,,,,6.75
144263,242.0213,-58.9708,,,,,6.74
144199,242.0369,-61.5639,,,,,8.72
144386,242.0452,-53.0790,,,,,6.86
144533,242.0666,-45.3654,,,,,8.13
144417,242.0704,-51.6361,,,,,7.44
144666,242.0991,-34.5159,,,,,9.03
144342,242.1091,-58.4295,,,,,8.98
144059,242.1333,-67.3222,,,,,9.03
144440,242.1338,-53.1447,,,,,8.27
144734,242.1358,-31.9197,,,,,9.13
144231,242.1374,-62.9819,,,,,6.88
144668,242.1429,-39.1051,,,,,7.0
144667,242.1440,-39.0929,,,,,6.65
144594,242.1484,-44.2899,,,,,9.25
144554,242.1658,-48.5784,,,,,9.04
144457,242.1751,-53.7952,,,,,8.81
144166,242.2061,-66.3525,,,,,9.73
144323,242.2124,-61.8006,,,,,7.29
144752,242.2405,-36.9384,,,,,9.31
144846,242.2676,-30.2587,,,,,8.21
144694,242.2715,-45.4974,,,,,8.85
144534,242.2877,-56.0579,,,,,6.51
144736,242.2939,-44.7332,,,,,9.25
144880,242.2963,-32.1003,,,,,7.45
144506,242.3092,-56.9021,,,,,7.85
144106,242.3124,-69.5899,,,,,8.06
144648,242.3162,-50.7014,,,,,9.08
144848,242.3210,-35.4987,,,,,8.66
144810,242.3224,-39.6464,,,,,9.08
144508,242.3344,-58.5042,,,,,8.99
144849,242.3412,-35.7366,,,,,8.98
144695,242.3804,-49.9473,,,,,9.73
144927,242.3823,-32.6490,,,,,6.18
144793,242.3861,-43.6540,,,,,8.23
144696,242.4111,-52.1153,,,,,7.61
144945,242.4264,-33.4892,,,,,8.75
144628,242.4286,-56.4451,,,,,7.11
144773,242.4579,-49.6140,,,,,8.52
144897,242.4633,-41.1577,,,,,8.61
145010,242.4662,-31.6041,,,,,8.73
144987,242.4691,-33.5458,,,,,5.5
145009,242.4751,-31.2406,,,,,8.98
144827,242.4781,-46.9261,,,,,9.47
144812,242.4964,-48.5744,,,,,8.4
144481,242.4966,-62.9672,,,,,6.5
144459,242.4990,-63.4765,,,,,8.55
144375,242.5001,-66.1584,,,,,8.42
144988,242.5023,-35.6426,,,,,7.16
144913,242.5182,-42.8038,,,,,9.23
144650,242.5228,-57.7598,,,,,7.83
144420,242.5363,-65.5277,,,,,8.74
144965,242.5440,-40.1288,,,,,7.07
144916,242.5547,-46.5240,,,,,8.85
144946,242.5688,-42.8158,,,,,8.74
144899,242.5728,-47.9143,,,,,8.97
144947,242.5790,-43.6566,,,,,8.34
144631,242.5923,-61.7209,,,,,8.01
145131,242.6008,-30.5308,,,,,8.66
144596,242.6121,-62.9229,,,,,7.45
145133,242.6472,-33.4316,,,,,8.78
145132,242.6498,-32.7619,,,,,9.32
144901,242.6506,-51.9688,,,,,8.1
145087,242.6507,-36.8446,,,,,8.99
144855,242.6521,-53.8692,,,,,7.94
145037,242.6948,-45.3740,,,,,9.7
144969,242.7048,-48.7949,,,,,8.26
145134,242.7320,-40.4368,,,,,9.31
144860,242.7471,-57.6077,,,,,7.57
145172,242.7473,-36.5219,,,,,9.15
145173,242.7897,-40.1281,,,,,7.89
145211,242.8125,-37.4611,,,,,8.93
144863,242.8181,-59.5623,,,,,8.14
145191,242.8238,-41.1198,,,,,5.86
144717,242.8271,-64.1638,,,,,8.03
145158,242.8284,-45.3334,,,,,6.65
145137,242.8392,-46.8725,,,,,8.91
145075,242.8563,-51.3934,,,,,9.83
145092,242.8737,-50.3655,,,,,10.3
145378,242.9455,-32.2602,,,,,8.32
145110,242.9914,-54.3529,,,,,6.53
145112,243.0137,-55.8330,,,,,8.31
145357,243.0698,-42.3751,,,,,8.15
144702,243.0738,-69.6196,,,,,8.16
144888,243.0816,-65.3652,,,,,8.17
145020,243.0925,-61.9290,,,,,7.02
145444,243.1261,-38.1066,,,,,9.88
144833,243.1402,-67.9060,,,,,8.74
145255,243.1430,-52.9045,,,,,9.09
144755,243.1487,-69.1334,,,,,8.8
145445,243.1639,-39.7421,,,,,7.74
145557,243.1656,-30.1520,,,,,8.19
145574,243.2170,-30.8001,,,,,9.68
330399,243.2189,-47.1090,,,,,11.01
145537,243.2271,-34.6557,,,,,10.41
145558,243.2284,-33.8472,,,,,9.54
145446,243.2299,-42.7848,,,,,8.97
145538,243.2372,-36.1062,,,,,8.63
145065,243.2593,-64.5481,,,,,8.4
145410,243.2757,-48.7556,,,,,8.03
145413,243.2928,-50.7526,,,,,9.21
145412,243.2994,-49.8847,,,,,6.83
145486,243.2998,-45.8114,,,,,8.53
145596,243.3012,-34.3069,,,,,7.39
145510,243.3116,-44.0736,,,,,7.52
145384,243.3207,-53.6712,,,,,6.03
145414,243.3299,-51.5763,,,,,9.19
145575,243.3326,-39.3118,,,,,10.03
145658,243.3431,-32.1303,,,,,7.88
145342,243.3515,-56.4145,,,,,7.9
145161,243.3555,-64.2859,,,,,8.27
145114,243.3667,-64.9857,,,,,7.46
145659,243.3680,-33.5885,,,,,9.27
145448,243.3757,-51.6175,,,,,8.67
145560,243.3931,-45.8177,,,,,8.91
145343,243.4237,-59.1514,,,,,8.62
145141,243.4527,-66.0628,,,,,9.17
145417,243.4541,-57.5705,,,,,7.53
145779,243.4625,-30.2122,,,,,7.6
145142,243.4818,-67.0752,,,,,7.83
145270,243.4823,-63.0578,,,,,8.1
145081,243.4963,-68.5435,,,,,8.86
145418,243.5060,-58.8697,,,,,8.65
145474,243.5119,-55.7464,,,,,8.29
145449,243.5227,-58.0390,,,,,7.04
145400,243.5313,-60.1413,,,,,8.16
145662,243.5316,-45.8748,,,,,8.51
145597,243.5325,-48.9328,,,,,6.75
145194,243.5362,-66.1408,,,,,8.45
145283,243.5376,-64.1170,,,,,8.14
145419,243.5399,-59.5582,,,,,8.22
145598,243.5414,-50.7849,,,,,8.65
145195,243.5478,-66.6795,,,,,9.41
145825,243.5498,-31.6637,,,,,6.55
145838,243.5932,-33.0111,,,,,5.91
145386,243.6152,-62.7704,,,,,7.7
145702,243.6458,-48.3244,,,,,9.01
145902,243.6591,-31.9400,,,,,9.27
145839,243.6792,-38.6454,,,,,9.24
145243,243.6832,-68.1200,,,,,9.71
145920,243.6941,-33.2584,,,,,9.91
145812,243.7344,-45.9916,,,,,7.59
145968,243.7378,-32.4456,,,,,8.22
