hd,ra,dec,flamsteed,bayer,const,propername,mag
25358,60.0077,-42.3901,,,,,7.2
25325,60.0105,-35.6379,,,,,9.01
25440,60.0296,-50.2062,,,,,8.82
25624,60.0570,-62.9021,,,,,8.09
25470,60.0647,-51.5650,,,,,6.51
25334,60.0791,-31.4456,,,,,8.58
25729,60.0925,-66.1787,,,,,8.26
25388,60.0990,-38.9450,,,,,8.13
25357,60.1134,-34.8501,,,,,9.57
25421,60.1167,-44.4931,,,,,9.04
25495,60.1330,-51.3284,,,,,9.09
25402,60.1332,-41.7484,,,,,8.36
25526,60.1654,-52.1697,,,,,8.69
25371,60.1694,-30.4907,,,,,5.93
25504,60.1727,-49.7846,,,,,9.02
25494,60.1797,-48.9867,,,,,9.2
25614,60.1869,-58.6617,,,,,7.03
25743,60.2082,-64.4221,,,,,7.86
25809,60.2113,-67.1485,,,,,9.7
25567,60.2167,-54.3238,,,,,8.26
25420,60.2238,-36.1780,,,,,9.29
25590,60.2474,-54.3921,,,,,7.7
25591,60.2664,-54.4062,,,,,8.17
25419,60.2762,-32.5894,,,,,9.07
25537,60.3234,-46.1373,,,,,7.24
25547,60.3272,-47.8371,,,,,9.17
25512,60.3364,-41.2504,,,,,9.47
25613,60.3743,-50.9589,,,,,9.05
25796,60.4110,-61.9584,,,,,8.68
25704,60.4353,-57.2068,,,,,8.11
25502,60.4613,-30.7812,,,,,9.34
25876,60.4632,-64.5709,,,,,8.6
25663,60.4862,-50.5081,,,,,7.76
25536,60.4930,-36.0994,,,,,8.39
25524,60.5079,-30.4686,,,,,8.54
25588,60.5084,-40.9376,,,,,9.56
25535,60.5142,-34.4822,,,,,6.73
25565,60.5255,-36.6169,,,,,9.2
25727,60.5459,-53.6193,,,,,8.75
25874,60.6115,-61.3569,,,,,6.74
25632,60.6398,-38.3905,,,,,8.52
25808,60.6526,-54.7485,,,,,8.6
26088,60.6536,-68.9472,,,,,7.4
25741,60.6877,-48.8294,,,,,8.85
25678,60.6977,-39.9958,,,,,8.05
25862,60.7069,-57.4594,,,,,8.44
25623,60.7072,-31.2426,,,,,8.42
25902,60.7219,-59.5338,,,,,8.33
25903,60.7245,-59.5795,,,,,7.69
25703,60.7324,-39.8057,,,,,7.55
25740,60.7435,-44.3922,,,,,8.12
25861,60.7442,-55.6016,,,,,8.61
25771,60.7492,-48.3688,,,,,6.95
25816,60.7638,-51.6470,,,,,7.61
25762,60.7699,-44.5920,,,,,8.74
25713,60.7874,-39.3645,,,,,7.54
25761,60.8600,-39.3783,,,,,9.02
25873,60.8666,-52.5057,,,,,8.41
25830,60.8696,-47.7536,,,,,9.34
25795,60.8715,-44.1378,,,,,8.03
25912,60.9081,-51.9308,,,,,8.2
25860,60.9141,-47.8619,,,,,6.62
25913,60.9189,-52.9290,,,,,7.51
25786,60.9349,-37.0703,,,,,7.16
25843,60.9381,-44.7329,,,,,7.64
25842,60.9380,-44.4817,,,,,8.48
25739,60.9396,-31.0546,,,,,9.32
25757,60.9429,-31.3422,,,,,9.13
25968,60.9706,-55.3999,,,,,7.65
25807,60.9962,-36.1111,,,,,9.99
26099,61.0033,-62.7860,,,,,8.84
25785,61.0088,-31.7790,,,,,8.86
25841,61.0380,-38.1256,,,,,9.02
26059,61.0538,-58.9529,,,,,8.03
25840,61.1144,-34.7354,,,,,8.61
26045,61.1188,-55.7972,,,,,8.92
26046,61.1283,-56.1494,,,,,8.62
25956,61.1478,-45.9021,,,,,8.2
25936,61.1645,-41.2814,,,,,8.85
26122,61.2094,-58.1778,,,,,9.4
25883,61.2182,-30.2220,,,,,7.86
25926,61.2331,-35.4465,,,,,7.7
25899,61.2501,-30.1794,,,,,8.59
25965,61.2647,-41.9114,,,,,9.33
25946,61.2669,-36.3898,,,,,8.54
25925,61.2765,-31.1697,,,,,8.58
26044,61.3135,-47.8323,,,,,9.07
26043,61.3145,-47.2222,,,,,8.77
26097,61.3367,-51.3721,,,,,7.66
25964,61.3520,-33.5757,,,,,9.25
25963,61.3548,-32.8097,,,,,8.83
26206,61.3805,-58.4783,,,,,7.97
26074,61.3920,-45.6667,,,,,7.57
25983,61.4027,-31.0510,,,,,6.94
26318,61.4128,-63.9279,,,,,8.88
26010,61.4153,-35.4669,,,,,8.03
26042,61.4219,-40.5271,,,,,9.16
26025,61.4775,-35.0696,,,,,8.12
26073,61.4787,-41.9605,,,,,8.73
26071,61.5052,-38.9970,,,,,8.89
26492,61.5125,-69.8713,,,,,7.45
26070,61.5156,-37.4981,,,,,9.01
26307,61.5441,-59.8760,,,,,7.87
26168,61.5447,-48.9037,,,,,9.26
26167,61.5714,-46.6454,,,,,10.08
26247,61.5736,-55.2442,,,,,8.97
26469,61.5876,-67.7054,,,,,8.01
26136,61.5917,-42.3977,,,,,9.29
26135,61.6059,-41.3215,,,,,9.26
26144,61.6270,-42.3646,,,,,8.82
26265,61.6647,-52.9787,,,,,8.46
26107,61.6864,-30.9201,,,,,8.55
26190,61.6934,-43.3551,,,,,9.21
26246,61.7134,-49.6285,,,,,6.86
26142,61.7184,-33.3809,,,,,9.2
26154,61.7264,-35.5277,,,,,9.05
26153,61.7659,-31.7312,,,,,8.67
26244,61.7758,-44.9456,,,,,8.35
26263,61.7762,-46.2981,,,,,8.01
26540,61.7946,-67.1709,,,,,8.91
26203,61.8310,-36.1433,,,,,8.36
26431,61.8317,-60.4472,,,,,9.24
26491,61.8392,-64.2223,,,,,6.37
