hd,ra,dec,flamsteed,bayer,const,propername,mag
104178,180.0048,43.3436,,,,,8.52
104205,180.0403,32.2409,,,,,8.3
104204,180.0413,36.7298,,,,,7.49
104239,180.0735,57.4747,,,,,8.54
104241,180.1019,44.6303,,,,,7.57
104259,180.1105,49.5850,,,,,8.7
104260,180.1224,39.4288,,,,,9.43
104288,180.1564,69.1855,,,,,7.42
104289,180.1719,59.3531,,,,,8.06
104301,180.1827,46.0757,,,,,9.48
104318,180.2120,32.9639,,,,,7.46
104334,180.2477,43.7910,,,,,9.49
104379,180.3048,30.6383,,,,,7.84
104377,180.3094,52.8050,,,,,9.27
104390,180.3487,66.1230,,,,,7.16
104405,180.3627,45.8412,,,,,9.67
104424,180.3837,44.6243,,,,,8.59
104425,180.3880,43.0417,,,,,8.85
104436,180.4056,64.9393,,,,,7.24
104438,180.4145,36.0421,,,,,5.59
104437,180.4200,39.5866,,,,,8.62
104450,180.4388,30.8992,,,,,9.25
238061,180.4541,55.8270,,,,,9.21
238062,180.4576,54.8710,,,,,9.12
104482,180.4755,57.9435,,,,,9.01
104495,180.5168,32.3331,,,,,8.73
104504,180.5330,31.2495,,,,,8.74
104525,180.5736,51.3451,,,,,8.97
104526,180.5868,43.1406,,,,,8.34
104556,180.6208,43.0841,,,,,6.64
104557,180.6467,41.2807,,,,,8.59
104573,180.6670,35.7273,,,,,8.15
104588,180.6878,31.5103,,,,,8.66
104586,180.6945,59.5203,,,,,9.24
104602,180.7135,36.8038,,,,,8.76
104635,180.7449,43.2310,,,,,8.97
104636,180.7498,41.0654,,,,,8.23
104655,180.7987,44.2174,,,,,10.72
104674,180.7994,47.1714,,,,,8.46
104675,180.8142,36.7231,,,,,8.94
104687,180.8206,33.6171,,,,,9.34
104709,180.8852,40.8451,,,,,9.15
104726,180.8982,33.0691,,,,,9.19
104725,180.8983,69.0200,,,,,7.0
104740,180.9224,45.8159,,,,,10.47
104739,180.9344,68.9349,,,,,7.96
238065,180.9387,55.5203,,,,,10.48
104753,180.9680,44.8588,,,,,9.29
104782,180.9948,61.4036,,,,,7.76
104783,181.0218,37.9997,,,,,9.16
104813,181.0551,44.4504,,,,,8.51
