hd,ra,dec,flamsteed,bayer,const,propername,mag
122065,210.0125,-23.4273,,,,,8.26
122123,210.0151,-11.7858,,,,,8.66
122124,210.0177,-12.7064,,,,,9.48
122067,210.0189,-25.5478,,,,,9.42
122135,210.0195,-8.1616,,,,,6.56
122125,210.0314,-13.4668,,,,,7.68
122171,210.1175,-14.9522,,,,,8.08
122206,210.1357,-8.3491,,,,,8.25
122156,210.1504,-26.2664,,,,,6.73
122230,210.1690,-2.0828,,,,,8.46
122218,210.2120,-16.3247,,,,,8.72
122241,210.2126,-5.2112,,,,,8.88
122242,210.2148,-8.0711,,,,,8.05
122255,210.2253,-6.7462,,,,,8.64
122303,210.2633,-2.6549,,,,,9.71
122287,210.2739,-7.1154,,,,,8.73
122270,210.2976,-14.8585,,,,,9.21
122269,210.2986,-11.9304,,,,,9.08
122289,210.3083,-10.3773,,,,,8.86
122370,210.4096,-9.9401,,,,,8.66
122388,210.4321,-5.6664,,,,,8.58
122409,210.4523,-8.2858,,,,,8.69
122371,210.4638,-17.8936,,,,,8.32
122350,210.4938,-28.2581,,,,,9.55
122391,210.4992,-21.1335,,,,,9.51
122474,210.5836,-12.0371,,,,,8.71
122430,210.5949,-27.4298,,,,,5.47
122445,210.6144,-24.6649,,,,,8.14
122530,210.6345,-2.1951,,,,,8.6
122491,210.6354,-19.8099,,,,,7.18
122486,210.6426,-14.3572,,,,,8.97
122487,210.6459,-15.8913,,,,,9.1
122476,210.6609,-26.8479,,,,,7.47
122492,210.6674,-21.6617,,,,,8.42
122477,210.6950,-29.3994,,,,,9.24
122575,210.7157,-2.3755,,,,,8.35
122509,210.7312,-27.3972,,,,,9.85
122606,210.7444,-6.5105,,,,,8.43
122576,210.7508,-9.5094,,,,,8.7
122605,210.7567,-4.9450,,,,,8.33
122577,210.7670,-17.3670,,,,,6.32
122582,210.8133,-22.6710,,,,,9.29
122657,210.8178,-7.1398,,,,,8.0
122584,210.8426,-24.7866,,,,,8.18
122699,210.8532,-0.6281,,,,,8.01
122658,210.8632,-10.9673,,,,,7.64
122679,210.8805,-10.7313,,,,,7.49
122640,210.9050,-27.0100,,,,,9.28
122681,210.9172,-19.9403,,,,,8.9
122701,210.9277,-13.2888,,,,,9.38
122660,210.9370,-24.1478,,,,,9.15
122703,210.9712,-22.4216,,,,,6.3
122771,210.9906,-9.7451,,,,,7.26
122719,210.9923,-22.6174,,,,,9.62
122682,210.9984,-28.9048,,,,,9.66
122749,211.0032,-12.7526,,,,,8.31
122787,211.0076,-3.9896,,,,,8.71
122798,211.0094,-0.3626,,,,,8.48
122788,211.0201,-7.3442,,,,,8.8
122751,211.0300,-21.3137,,,,,8.57
122772,211.0316,-15.4862,,,,,8.75
122800,211.0504,-12.1298,,,,,7.94
122815,211.0607,-5.3814,,,,,6.39
122835,211.0824,-9.5294,,,,,8.41
122816,211.0895,-9.2577,,,,,6.65
122754,211.0907,-28.5999,,,,,8.33
122817,211.0962,-11.4949,,,,,9.41
122851,211.0963,-3.4676,,,,,10.36
122755,211.0990,-29.8996,,,,,7.92
122775,211.1108,-29.0628,,,,,7.23
122837,211.1124,-14.9717,,,,,6.35
122911,211.2031,-6.5524,,,,,7.83
122950,211.2297,-0.9868,,,,,9.14
122870,211.2722,-28.5165,,,,,7.99
122900,211.2738,-22.6221,,,,,7.21
122973,211.2945,-9.0485,,,,,8.08
122993,211.3022,-7.2766,,,,,7.69
122956,211.3043,-14.8571,,,,,7.22
122958,211.3084,-16.3360,,,,,6.56
123014,211.3152,-0.9162,,,,,8.59
123015,211.3452,-7.9969,,,,,8.18
122960,211.3524,-23.1649,,,,,8.65
123037,211.4107,-18.0724,,,,,8.15
122996,211.4146,-26.6116,,,,,8.71
123087,211.4668,-12.7032,,,,,8.31
123103,211.4890,-13.0737,,,,,9.02
123102,211.4895,-13.0699,,,,,9.73
123118,211.5090,-11.5907,,,,,9.62
123106,211.5469,-24.7405,,,,,7.59
123160,211.5536,-11.8327,,,,,8.66
123137,211.5598,-17.6885,,,,,9.32
123107,211.5793,-26.5793,,,,,7.36
123212,211.5831,-6.1025,,,,,9.27
123211,211.6015,-4.1638,,,,,8.52
123180,211.6011,-16.2129,,,,,10.06
123235,211.6133,-2.8114,,,,,9.63
123181,211.6240,-20.0729,,,,,8.75
123194,211.6385,-17.4562,,,,,7.68
123236,211.6422,-10.0965,,,,,9.01
123265,211.6720,-5.5183,,,,,8.35
123214,211.6735,-14.2049,,,,,6.57
123239,211.6878,-14.0953,,,,,8.38
123283,211.7159,-4.9802,,,,,8.28
123218,211.7262,-25.9583,,,,,8.64
123243,211.7581,-27.3528,,,,,7.47
123340,211.7835,-8.4394,,,,,7.82
123308,211.7902,-19.2843,,,,,8.1
123307,211.8077,-16.1905,,,,,7.28
123310,211.8350,-23.8929,,,,,9.33
123355,211.8629,-18.7709,,,,,9.1
123380,211.8710,-10.3236,,,,,8.03
123410,211.8893,-1.0773,,,,,8.16
123441,211.9162,-0.1900,,,,,7.97
123342,211.9315,-29.0260,,,,,8.76
123383,211.9527,-23.2972,,,,,8.26
123472,211.9586,-0.0560,,,,,7.27
123423,211.9685,-11.1521,,,,,8.74
123413,211.9754,-21.1953,,,,,8.09
123402,211.9884,-25.0464,,,,,8.12
123473,211.9899,-2.1382,,,,,8.45
