hd,ra,dec,flamsteed,bayer,const,propername,mag
65470,120.0188,31.5918,,,,,8.22
65369,120.0342,41.4230,,,,,7.5
65407,120.0690,40.7931,,,,,7.89
65368,120.0786,42.9742,,,,,9.19
64911,120.0998,64.7472,,,,,7.24
65302,120.1213,50.6660,,,,,9.02
65543,120.1359,35.6137,,,,,9.38
65218,120.1364,55.4771,,,,,8.95
65367,120.1690,49.3951,,,,,9.17
65366,120.2000,51.7257,,,,,9.13
65542,120.2315,39.9102,,,,,7.6
65390,120.3006,54.4605,,,,,7.07
65556,120.3042,44.8051,,,,,9.05
65642,120.3316,40.4008,,,,,8.26
65301,120.3365,59.0474,,,,,5.78
65641,120.3442,40.8568,,,,,7.38
65365,120.3563,56.9435,,,,,8.58
65664,120.3856,41.3871,,,,,7.28
65469,120.4424,55.8487,,,,,8.81
65822,120.4469,32.1506,,,,,8.16
65755,120.4477,40.1450,,,,,8.04
65801,120.4799,35.4131,,,,,6.34
65449,120.4997,58.0495,,,,,8.92
233484,120.5176,51.6957,,,,,10.1
65582,120.5308,54.6152,,,,,8.28
65788,120.5667,44.0221,,,,,7.88
65429,120.5691,60.9935,,,,,6.87
65518,120.6190,60.4159,,,,,8.04
65448,120.6284,63.0903,,,,,6.09
65136,120.6480,69.8416,,,,,9.4
65626,120.6492,57.2736,,,,,6.48
65800,120.6770,48.5925,,,,,7.26
65734,120.6940,54.1313,,,,,7.54
65990,120.7144,36.0857,,,,,8.7
65601,120.7646,61.6311,,,,,8.11
65915,120.7792,45.6190,,,,,7.92
65497,120.7896,65.1358,,,,,7.72
65914,120.8030,46.2175,,,,,8.37
66046,120.8245,37.3703,,,,,8.73
66085,120.8605,37.1367,,,,,6.9
65872,120.8731,52.7572,,,,,7.92
65854,120.8849,54.1598,,,,,8.41
65898,120.9151,53.2083,,,,,8.59
66175,120.9164,36.3449,,,,,6.89
65989,120.9227,48.6117,,,,,8.22
66084,120.9630,44.2164,,,,,8.6
66214,120.9737,35.4206,,,,,8.52
66113,120.9894,43.8394,,,,,7.44
66197,121.0043,38.6395,,,,,8.62
66174,121.0255,42.4209,,,,,9.21
66299,121.0350,33.0307,,,,,6.7
65580,121.0470,67.6722,,,,,7.92
66112,121.0698,47.9478,,,,,8.56
66370,121.1130,33.6633,,,,,8.39
66212,121.1230,44.9904,,,,,9.3
65733,121.1470,66.5198,,,,,8.74
66068,121.1498,53.6785,,,,,7.05
66067,121.1542,54.7461,,,,,7.64
66319,121.1674,39.7407,,,,,6.89
66173,121.1730,50.9354,,,,,8.68
233489,121.1754,50.4454,,,,,9.09
66263,121.1852,47.2899,,,,,8.38
66083,121.1992,55.4850,,,,,7.71
233490,121.2251,52.1595,,,,,9.11
66045,121.2429,58.4239,,,,,8.65
66390,121.2612,41.8201,,,,,9.03
66138,121.2935,57.7730,,,,,7.07
66470,121.3552,41.1901,,,,,7.79
66611,121.4007,31.3157,,,,,8.18
65988,121.4085,64.8847,,,,,9.06
65871,121.4343,68.3816,,,,,8.16
66634,121.4765,36.8843,,,,,9.0
66683,121.4808,32.4241,,,,,8.27
66682,121.5085,36.2724,,,,,7.07
66286,121.5106,59.2488,,,,,6.69
66297,121.5160,58.1640,,,,,8.51
66709,121.5375,34.6624,,,,,9.46
66661,121.5898,41.9856,,,,,8.04
66850,121.6807,33.8969,,,,,8.64
66899,121.7339,34.7745,,,,,8.02
66708,121.7573,49.8929,,,,,8.7
66610,121.7686,54.1198,,,,,8.23
66774,121.7931,46.8217,,,,,8.32
66681,121.8012,51.9878,,,,,8.87
67009,121.8257,33.2472,,,,,8.2
66660,121.8558,55.3014,,,,,7.19
66730,121.8748,53.5567,,,,,7.69
66773,121.8928,52.2703,,,,,9.02
66570,121.9117,60.6894,,,,,9.15
67087,121.9156,31.5513,,,,,8.05
67008,121.9232,41.8005,,,,,9.58
67066,121.9360,35.6253,,,,,8.39
67086,121.9518,36.2438,,,,,7.99
67065,121.9522,38.5806,,,,,7.1
67149,121.9645,30.4366,,,,,8.7
66947,122.0123,50.1368,,,,,7.58
66772,122.0141,56.4528,,,,,8.9
67045,122.0304,46.9383,,,,,8.24
66977,122.0363,49.2595,,,,,8.82
67027,122.0533,48.1638,,,,,8.09
67174,122.0784,38.5248,,,,,7.06
67225,122.0790,34.0326,,,,,7.64
67204,122.0892,37.8677,,,,,7.69
67044,122.1027,49.0211,,,,,7.49
66609,122.1420,64.3338,,,,,9.3
67203,122.1548,41.5220,,,,,9.92
66871,122.1668,58.2863,,,,,8.64
67085,122.1809,49.7193,,,,,9.19
67320,122.1961,34.8905,,,,,9.48
67319,122.2051,37.2270,,,,,8.54
67254,122.2206,44.0398,,,,,8.52
67148,122.2759,51.3166,,,,,8.43
67391,122.2871,37.2333,,,,,8.93
67202,122.3218,50.9360,,,,,8.69
67318,122.3360,45.7675,,,,,7.88
