hd,ra,dec,flamsteed,bayer,const,propername,mag
224700,0.0009,1.0890,,,,,9.1
224709,0.0273,25.8865,,,,,9.05
224723,0.0630,23.5292,,,,,8.51
224724,0.0664,8.0072,,,,,7.55
224742,0.0746,13.3122,,,,,7.57
224760,0.0981,2.6755,,,,,7.63
224758,0.0996,26.9181,,,,,6.43
224759,0.1034,12.2671,,,,,7.68
224771,0.1254,25.8448,,,,,8.2
224774,0.1434,1.0662,,,,,8.94
224785,0.1629,0.2229,,,,,8.12
224806,0.1993,23.5382,,,,,7.83
224808,0.2004,16.9882,,,,,8.79
224816,0.2323,17.8679,,,,,8.06
224844,0.3164,19.7412,,,,,8.44
224875,0.3466,6.7915,,,,,7.23
224895,0.3964,28.4237,,,,,6.83
224896,0.4088,14.6323,,,,,8.06
224897,0.4156,5.3728,,,,,9.32
224907,0.4287,24.2531,,,,,6.6
224923,0.4661,21.0262,,,,,8.49
224931,0.4788,15.5285,,,,,8.15
224932,0.4845,12.6549,,,,,8.9
224983,0.5898,11.0062,,,,,8.48
224984,0.5900,10.7854,,,,,8.53
224996,0.6027,6.3330,,,,,8.64
224994,0.6054,10.7764,,,,,8.74
225004,0.6198,8.3939,,,,,8.16
225002,0.6327,15.3352,,,,,8.94
225001,0.6350,16.2566,,,,,7.24
225000,0.6393,18.6834,,,,,8.24
225013,0.6468,18.8360,,,,,8.56
225024,0.6692,28.5422,,,,,8.17
225027,0.6903,6.0344,,,,,8.56
225028,0.6966,2.1302,,,,,7.17
225036,0.7103,28.2519,,,,,7.64
225058,0.7432,3.3819,,,,,8.56
225056,0.7520,9.1383,,,,,8.76
225057,0.7654,8.2613,,,,,9.19
225073,0.8055,17.5523,,,,,6.59
225096,0.8420,23.5750,,,,,8.77
225097,0.8580,20.6655,,,,,7.49
225106,0.8764,19.3815,,,,,7.92
225107,0.8771,12.3568,,,,,7.45
225127,0.9171,3.9070,,,,,7.89
225126,0.9270,13.3652,,,,,8.18
225149,0.9698,22.2960,,,,,8.27
225151,0.9837,14.3789,,,,,7.09
225150,0.9917,20.9537,,,,,8.29
225161,1.0010,12.1458,,,,,7.26
225181,1.0424,17.4366,,,,,8.53
225182,1.0661,14.0815,,,,,8.88
225194,1.0896,12.9573,,,,,8.6
225221,1.1561,2.9372,,,,,7.9
225242,1.1714,6.5224,,,,,8.37
225241,1.1719,14.9652,,,,,7.37
225240,1.1781,17.0697,,,,,8.56
225244,1.1889,0.0565,,,,,8.82
225243,1.1928,1.5369,,,,,8.18
225262,1.2102,6.4167,,,,,9.15
225276,1.2333,26.6488,,,,,6.25
225261,1.2346,23.2696,,,,,7.82
225292,1.2549,27.6748,,,,,6.47
225293,1.2638,9.2800,,,,,8.94
225294,1.2647,1.0377,,,,,8.84
5,1.2924,2.3972,,,,,8.69
18,1.3119,3.0074,,,,,9.48
26,1.3425,8.7878,,,,,8.26
43,1.3427,3.6061,,,,,6.91
42,1.3512,16.3290,,,,,8.63
40,1.3702,22.2245,,,,,9.13
85,1.4352,17.8403,,,,,7.75
94,1.4700,12.5274,,,,,8.91
101,1.4781,18.2350,,,,,7.45
113,1.4811,18.0759,,,,,8.58
100,1.4864,24.5690,,,,,6.9
111,1.5022,28.2769,,,,,6.62
114,1.5044,16.4521,,,,,7.89
112,1.5136,24.9166,,,,,7.51
126,1.5335,9.7149,,,,,7.8
127,1.5335,0.1214,,,,,8.21
167,1.6481,28.5534,,,,,6.68
166,1.6531,29.0215,,,,,6.07
187,1.6958,23.4938,,,,,8.72
196,1.7110,20.5598,,,,,8.22
199,1.7181,1.8610,,,,,8.98
222,1.7583,22.8445,,,,,8.29
223,1.7601,5.2880,,,,,8.3
231,1.7672,6.8755,,,,,7.44
238,1.8024,6.2043,,,,,8.85
236,1.8103,20.5557,,,,,7.99
250,1.8256,20.9651,,,,,9.14
251,1.8266,7.7036,,,,,7.64
253,1.8310,1.6651,,,,,8.95
249,1.8440,26.4506,,,,,7.33
264,1.8719,17.3027,,,,,8.46
282,1.8804,24.3212,,,,,8.57
294,1.9167,1.0942,,,,,8.25
333,2.0032,29.8375,,,,,7.54
342,2.0241,4.9272,,,,,8.19
359,2.0923,3.4406,,,,,8.0
377,2.1073,6.6168,,,,,7.59
387,2.1303,20.2673,,,,,8.94
388,2.1313,11.1715,,,,,8.95
405,2.1912,14.1420,,,,,7.84
418,2.2031,8.0219,,,,,7.43
417,2.2172,25.4630,,,,,6.24
422,2.2177,0.6925,,,,,7.31
435,2.2358,12.8044,,,,,8.48
434,2.2507,28.2475,,,,,6.47
449,2.2618,9.8500,,,,,8.58
446,2.2632,22.6643,,,,,9.23
447,2.2680,19.9247,,,,,7.11
461,2.2961,21.0593,,,,,9.25
471,2.3156,25.2820,,,,,7.78
483,2.3310,17.5339,,,,,7.07
492,2.3524,0.0720,,,,,8.59
489,2.3673,19.1158,,,,,7.94
491,2.3668,1.2440,,,,,7.27
502,2.3793,19.5591,,,,,7.59
517,2.4520,19.3812,,,,,8.48
531,2.4652,8.4532,,,,,8.64
530,2.4658,11.4162,,,,,8.42
529,2.4686,12.7108,,,,,8.36
543,2.4792,4.8325,,,,,7.77
544,2.4880,4.1661,,,,,8.5
542,2.4893,8.5769,,,,,8.82
559,2.5229,25.1979,,,,,7.77
573,2.5543,25.5268,,,,,8.91
585,2.5868,18.6504,,,,,9.27
598,2.6115,28.6529,,,,,7.11
615,2.6232,15.2318,,,,,8.24
631,2.6630,12.8202,,,,,8.47
632,2.6636,2.3007,,,,,8.16
633,2.6697,2.0555,,,,,7.51
664,2.7558,29.5505,,,,,8.55
680,2.7735,4.1331,,,,,7.44
684,2.8115,10.6360,,,,,8.44
685,2.8153,7.9481,,,,,7.69
700,2.8518,23.8182,,,,,8.23
727,2.9061,10.3283,,,,,8.61
737,2.9407,27.5102,,,,,8.45
745,2.9480,9.1400,,,,,7.45
744,2.9589,28.4233,,,,,7.51
756,3.0057,23.4717,,,,,6.58
755,3.0060,28.6065,,,,,7.19
784,3.0661,22.5567,,,,,7.69
804,3.1180,20.2343,,,,,8.18
811,3.1373,24.6364,,,,,8.88
819,3.1727,19.7712,,,,,9.27
830,3.1936,27.1091,,,,,8.19
831,3.2022,15.5604,,,,,8.63
851,3.2486,29.3929,,,,,8.39
852,3.2503,12.3310,,,,,8.19
866,3.2520,2.9496,,,,,8.62
864,3.2750,20.1904,,,,,8.75
874,3.2896,16.9215,,,,,6.52
872,3.3005,21.4053,,,,,8.39
873,3.3046,20.7528,,,,,9.17
885,3.3221,19.5212,,,,,8.83
896,3.3307,8.9299,,,,,7.72
895,3.3497,26.9875,,,,,6.24
917,3.3851,0.8470,,,,,9.58
921,3.4187,6.5804,,,,,8.65
929,3.4293,18.6357,,,,,8.08
931,3.4404,8.1935,,,,,7.41
940,3.4482,1.3836,,,,,6.79
930,3.4525,16.5806,,,,,8.96
964,3.5053,0.8687,,,,,9.22
976,3.5376,26.2588,,,,,7.0
977,3.5471,13.5523,,,,,8.6
988,3.5895,4.8858,,,,,9.0
997,3.6130,16.6408,,,,,8.23
1031,3.6524,1.2968,,,,,7.03
1030,3.6730,3.3639,,,,,8.67
1047,3.7083,23.7934,,,,,8.62
1048,3.7329,22.2842,,,,,6.25
1059,3.7347,21.5421,,,,,7.06
1076,3.7500,5.5883,,,,,8.41
1084,3.7911,17.6917,,,,,8.98
1083,3.7940,27.2834,,,,,6.35
1094,3.8398,28.5872,,,,,7.33
1099,3.8607,24.0697,,,,,9.46
1122,3.8854,13.4194,,,,,7.87
1133,3.9110,5.8438,,,,,6.98
1151,3.9652,2.7023,,,,,8.4
1160,3.9888,4.2511,,,,,7.13
1168,4.0085,14.7073,,,,,8.39
1169,4.0226,8.1155,,,,,7.59
1213,4.1448,15.8372,,,,,8.32
1228,4.1643,1.8506,,,,,6.98
1226,4.1659,11.9382,,,,,8.15
1255,4.1903,10.2448,,,,,6.51
1254,4.2292,23.2562,,,,,6.95
1284,4.2603,2.3715,,,,,8.5
1290,4.3019,23.5976,,,,,7.9
1289,4.3159,24.6613,,,,,8.53
1310,4.3298,2.4767,,,,,9.06
1311,4.3325,0.5899,,,,,8.96
1309,4.3432,16.5104,,,,,8.78
1329,4.3699,0.3212,,,,,7.71
1341,4.4157,12.0424,,,,,8.35
1339,4.4366,26.5695,,,,,9.16
1367,4.4487,1.6887,,,,,6.19
1364,4.4635,20.2270,,,,,6.91
1366,4.4650,4.9533,,,,,9.26
1365,4.4703,7.8660,,,,,7.53
1368,4.4777,0.3778,,,,,8.88
1375,4.4846,12.7715,,,,,6.54
1376,4.5011,9.5119,,,,,9.92
1393,4.5329,3.7968,,,,,7.2
1419,4.5719,11.2062,,,,,6.07
1407,4.5768,19.4044,,,,,8.94
1418,4.6041,22.8801,,,,,7.98
1430,4.6138,21.4776,,,,,8.82
1429,4.6275,26.1403,,,,,7.27
1449,4.6652,22.8797,,,,,7.14
1450,4.6784,15.9906,,,,,8.64
1480,4.7638,22.3687,,,,,8.76
1489,4.7814,7.2825,,,,,8.9
1496,4.7997,16.3149,,,,,8.6
1497,4.8033,13.5770,,,,,8.19
1513,4.8193,0.5206,,,,,7.93
1502,4.8211,14.0548,,,,,8.36
1501,4.8417,26.4541,,,,,7.58
1511,4.8432,9.0442,,,,,8.3
1510,4.8477,19.9990,,,,,7.68
1521,4.8717,5.7603,,,,,8.76
1553,4.9698,13.3933,,,,,8.7
1565,4.9879,1.5826,,,,,7.62
1576,5.0130,1.1641,,,,,8.64
1585,5.0211,6.2926,,,,,6.81
1586,5.0397,3.0335,,,,,7.53
1583,5.0603,24.6659,,,,,7.56
1584,5.0634,9.5264,,,,,9.32
1608,5.0901,4.7790,,,,,7.68
1617,5.1182,0.5197,,,,,9.69
1616,5.1211,9.9377,,,,,8.92
1627,5.1264,10.9177,,,,,7.03
1634,5.1592,12.3111,,,,,8.09
1644,5.1819,3.4495,,,,,8.08
1633,5.1897,26.5137,,,,,7.39
1642,5.2090,18.4821,,,,,7.65
1663,5.2275,10.9769,,,,,6.57
1662,5.2477,12.7717,,,,,7.2
1672,5.2917,25.3383,,,,,7.56
1688,5.3390,27.7336,,,,,8.32
