hd,ra,dec,flamsteed,bayer,const,propername,mag
25250,60.0011,-19.2467,,,,,7.12
25276,60.0091,-27.2657,,,,,9.24
25242,60.0320,-12.4229,,,,,7.83
25283,60.0737,-23.1705,,,,,8.48
25241,60.0774,-6.3843,,,,,8.39
25333,60.1018,-29.2348,,,,,8.95
25314,60.1051,-26.8370,,,,,8.43
25281,60.1673,-12.8595,,,,,8.72
25343,60.2249,-20.3349,,,,,8.64
25344,60.2282,-20.7124,,,,,8.12
25280,60.2480,-4.7157,,,,,9.26
25386,60.2523,-25.1750,,,,,9.19
25342,60.2571,-17.3650,,,,,8.08
25394,60.2694,-28.2706,,,,,8.88
25385,60.3007,-22.2759,,,,,7.41
25370,60.3036,-15.8631,,,,,8.6
25401,60.3374,-26.5168,,,,,7.52
25339,60.3939,-0.9937,,,,,9.54
25392,60.4070,-13.8249,,,,,9.77
25468,60.4152,-29.1783,,,,,9.42
25436,60.4589,-18.3674,,,,,7.65
25459,60.4670,-20.4751,,,,,7.83
25467,60.4810,-21.0207,,,,,7.26
25433,60.5681,-4.3027,,,,,8.72
25414,60.5716,-1.6327,,,,,7.73
25546,60.5910,-28.5309,,,,,7.6
25458,60.5939,-7.0051,,,,,8.79
25522,60.6278,-19.4983,,,,,7.91
25492,60.6310,-11.4139,,,,,8.7
25457,60.6531,-0.2689,,,,,5.38
25466,60.6603,-0.8010,,,,,6.93
25587,60.6781,-27.4835,,,,,7.4
25575,60.6961,-22.5945,,,,,6.9
25574,60.7245,-20.5062,,,,,7.97
25501,60.7452,-0.0633,,,,,8.93
25545,60.7621,-8.7531,,,,,9.07
25573,60.7638,-15.1458,,,,,9.04
25610,60.7851,-20.5041,,,,,8.68
25622,60.8157,-21.4174,,,,,7.63
25542,60.8268,-2.3625,,,,,8.21
25585,60.8504,-10.5540,,,,,8.16
25631,60.8531,-20.1438,,,,,6.47
25675,60.8705,-24.4601,,,,,7.24
25677,60.8798,-26.4813,,,,,8.82
25676,60.8911,-25.8479,,,,,6.57
25661,60.9033,-20.1588,,,,,7.01
25702,60.9159,-24.8756,,,,,8.76
25608,60.9796,-0.7195,,,,,9.37
25648,60.9945,-6.0518,,,,,7.84
25647,61.0093,-4.6005,,,,,7.28
25700,61.0363,-16.5887,,,,,6.36
25645,61.0406,-1.1751,,,,,7.94
25712,61.0620,-13.8452,,,,,8.68
25754,61.0744,-19.4692,,,,,7.71
25725,61.0783,-15.7251,,,,,8.56
25724,61.0804,-14.2625,,,,,8.05
25673,61.0846,-4.6551,,,,,9.53
25804,61.0944,-27.6549,,,,,8.92
25723,61.0947,-12.7923,,,,,5.62
25815,61.1042,-29.5153,,,,,9.35
25710,61.1115,-10.2352,,,,,8.11
25709,61.1243,-6.1728,,,,,8.0
25697,61.1340,-3.3396,,,,,8.72
25803,61.1704,-20.3819,,,,,6.12
25856,61.1883,-28.3485,,,,,8.2
25839,61.1910,-27.7356,,,,,9.86
25828,61.2052,-22.7281,,,,,8.64
25752,61.2225,-2.4271,,,,,7.07
25855,61.2273,-25.5102,,,,,8.5
25792,61.2345,-11.7990,,,,,8.01
25782,61.2705,-4.7856,,,,,8.27
25802,61.2780,-9.2622,,,,,8.23
25801,61.2908,-7.4385,,,,,8.45
25882,61.2925,-21.4529,,,,,7.82
25871,61.3081,-22.1116,,,,,9.2
25790,61.3098,-1.0118,,,,,6.97
25789,61.3169,-0.5691,,,,,7.13
25852,61.3775,-7.5972,,,,,7.83
25945,61.4059,-27.6518,,,,,5.59
25962,61.4206,-29.1545,,,,,9.58
25898,61.4293,-11.6275,,,,,9.08
25944,61.4446,-20.5126,,,,,6.34
25982,61.4731,-26.6567,,,,,9.3
25870,61.4746,-0.6609,,,,,9.41
25921,61.4754,-10.2958,,,,,7.03
25910,61.4855,-8.8561,,,,,6.27
25943,61.5014,-14.7269,,,,,8.16
25896,61.5379,-0.0210,,,,,8.36
26007,61.5476,-23.2798,,,,,8.38
26004,61.5677,-19.5134,,,,,7.63
25954,61.5746,-7.8287,,,,,7.53
26003,61.6357,-13.2110,,,,,8.93
26024,61.6538,-18.0508,,,,,6.6
25980,61.6738,-1.9145,,,,,8.6
26002,61.6743,-8.4936,,,,,8.48
26057,61.6884,-21.6720,,,,,8.13
26087,61.7422,-21.9941,,,,,6.65
26054,61.7455,-15.9893,,,,,7.82
26040,61.7523,-10.0005,,,,,6.88
26134,61.7684,-28.8111,,,,,8.36
26068,61.8156,-9.7578,,,,,6.77
26033,61.8162,-1.0888,,,,,9.61
26152,61.8276,-28.6900,,,,,9.08
26151,61.8364,-27.4257,,,,,8.49
26053,61.8433,-2.3672,,,,,8.54
26150,61.8480,-26.3000,,,,,8.98
26066,61.8720,-6.0074,,,,,6.91
26119,61.8756,-15.4402,,,,,8.49
26083,61.9239,-1.6217,,,,,9.07
26187,61.9465,-23.1049,,,,,9.46
26217,61.9653,-27.5644,,,,,8.73
26132,61.9914,-4.1839,,,,,8.3
26240,62.0513,-25.3927,,,,,9.08
26238,62.0887,-21.1289,,,,,8.3
26186,62.1367,-4.0187,,,,,9.14
26215,62.1630,-2.6874,,,,,8.97
26280,62.1770,-20.0643,,,,,8.6
26237,62.1941,-8.6703,,,,,7.15
26279,62.2081,-17.9452,,,,,8.09
26349,62.2381,-28.9095,,,,,7.88
26339,62.2508,-25.0178,,,,,8.15
26299,62.2552,-17.6133,,,,,7.99
26297,62.2642,-15.8909,,,,,7.46
26296,62.2790,-13.2879,,,,,9.11
26298,62.2823,-16.3994,,,,,8.16
26338,62.2908,-20.7045,,,,,8.32
26390,62.3230,-28.7903,,,,,8.43
26326,62.3243,-16.3859,,,,,5.45
26294,62.3353,-7.9291,,,,,7.2
26389,62.3482,-27.8098,,,,,8.72
26325,62.3594,-11.9939,,,,,8.65
26360,62.3673,-17.4789,,,,,7.96
26388,62.3822,-26.0207,,,,,7.7
26361,62.3917,-17.5025,,,,,8.28
26337,62.4204,-7.8929,,,,,7.03
26374,62.4378,-12.5608,,,,,7.73
26336,62.4547,-3.5735,,,,,6.84
26412,62.4687,-19.2870,,,,,7.02
26411,62.4949,-19.0029,,,,,7.16
26428,62.4957,-25.0419,,,,,6.95
26417,62.5060,-18.7111,,,,,8.22
26387,62.5465,-6.0581,,,,,8.65
26450,62.6198,-15.0289,,,,,7.66
26486,62.6241,-26.0517,,,,,8.19
26505,62.6444,-26.6084,,,,,8.65
26519,62.6722,-25.4259,,,,,7.86
26465,62.6842,-11.3314,,,,,7.76
26518,62.6850,-25.0961,,,,,7.35
26441,62.6855,-4.8748,,,,,7.36
26464,62.6990,-8.8198,,,,,5.7
26558,62.7231,-29.0543,,,,,8.88
26504,62.7402,-14.3631,,,,,7.72
26536,62.7414,-23.3864,,,,,9.29
26535,62.7690,-20.0514,,,,,8.91
26473,62.7707,-5.2705,,,,,7.86
26529,62.7719,-18.4267,,,,,8.05
26472,62.7831,-1.2491,,,,,9.83
26502,62.8364,-2.9647,,,,,9.23
26549,62.8567,-15.9684,,,,,7.01
26503,62.8667,-3.2558,,,,,8.71
26601,62.8793,-25.1340,,,,,9.36
26611,62.8799,-26.7642,,,,,9.31
26516,62.8819,-0.4225,,,,,6.59
26591,62.9008,-20.3562,,,,,5.8
26610,62.9321,-21.4167,,,,,8.96
26584,62.9839,-8.8375,,,,,6.45
26589,62.9957,-8.1555,,,,,9.13
26657,62.9984,-27.5516,,,,,9.29
26625,63.0011,-17.2747,,,,,6.41
26624,63.0224,-13.2231,,,,,7.93
26609,63.0369,-10.4694,,,,,8.4
26634,63.0466,-13.6372,,,,,8.0
26608,63.0848,-4.4103,,,,,6.7
