hd,ra,dec,flamsteed,bayer,const,propername,mag
65716,120.0487,4.2004,,,,,10.07
65643,120.0634,15.6839,,,,,8.73
65715,120.0786,8.9743,,,,,7.21
65694,120.0897,12.2137,,,,,7.9
65778,120.0939,3.2489,,,,,7.94
65602,120.1090,25.0340,,,,,7.96
65583,120.1339,29.2124,,,,,6.97
65666,120.1351,18.8431,,,,,7.1
65737,120.1518,12.6418,,,,,6.59
65808,120.1635,1.9739,,,,,9.31
65736,120.1718,18.2456,,,,,7.09
65760,120.1826,16.5881,,,,,8.01
65735,120.2004,19.8162,,,,,6.3
65806,120.2006,7.9172,,,,,8.2
65804,120.2047,12.6784,,,,,6.79
65757,120.2533,23.5831,,,,,6.34
65874,120.3063,8.3763,,,,,7.52
65900,120.3079,4.8798,,,,,5.65
65824,120.3164,18.3897,,,,,8.89
65857,120.3463,16.9494,,,,,8.42
65775,120.3629,29.5973,,,,,8.85
65823,120.3762,23.9127,,,,,7.27
65916,120.3971,14.0406,,,,,8.4
66013,120.4149,1.4769,,,,,8.9
65971,120.4226,9.6271,,,,,8.05
66012,120.4493,5.2011,,,,,8.25
66011,120.4614,8.9140,,,,,6.22
65855,120.4674,28.6336,,,,,8.31
66050,120.4816,4.5414,,,,,7.14
65970,120.5197,19.7373,,,,,7.65
66090,120.5312,2.9606,,,,,6.79
65934,120.5462,26.6379,,,,,7.7
65933,120.5579,28.1842,,,,,8.96
66120,120.5932,6.5903,,,,,8.62
66177,120.6086,4.1521,,,,,7.61
66117,120.6365,12.4522,,,,,7.55
66048,120.6395,21.8720,,,,,7.97
66115,120.6539,15.9153,,,,,7.81
66116,120.6779,14.9493,,,,,7.3
66198,120.6809,10.7882,,,,,9.1
66140,120.7860,24.5897,,,,,8.94
66139,120.7992,27.9319,,,,,8.01
66303,120.8104,9.9428,,,,,7.48
66176,120.8270,26.2676,,,,,7.07
66302,120.8345,11.3487,,,,,8.6
66349,120.8360,7.1242,,,,,8.68
66301,120.8524,13.6692,,,,,7.89
66300,120.8651,16.8476,,,,,7.43
66348,120.8697,12.1813,,,,,6.74
66321,120.8911,14.0903,,,,,7.62
66287,120.8922,20.3385,,,,,7.03
66427,120.9020,1.7683,,,,,8.39
66320,120.9169,17.7259,,,,,7.8
66446,120.9672,6.3235,,,,,7.79
66513,120.9811,3.3988,,,,,7.86
66411,120.9823,16.6453,,,,,8.72
66346,120.9952,23.4058,,,,,8.72
66472,121.0061,8.2696,,,,,8.13
66512,121.0135,4.0257,,,,,8.57
66444,121.0248,13.6875,,,,,6.72
66510,121.0682,10.8568,,,,,8.07
66530,121.0880,10.2496,,,,,7.85
66509,121.0964,12.2896,,,,,7.82
66471,121.1106,19.7974,,,,,8.29
66613,121.1113,0.9611,,,,,7.55
66443,121.1169,21.0082,,,,,7.51
66573,121.1243,9.2679,,,,,7.26
66528,121.1251,13.7745,,,,,7.75
66553,121.1445,15.3643,,,,,8.48
66612,121.1669,9.4670,,,,,8.26
66485,121.1781,24.3302,,,,,8.43
66552,121.1888,18.8420,,,,,6.21
66665,121.1994,6.1861,,,,,7.85
66713,121.2155,4.1414,,,,,7.74
66550,121.2177,23.6137,,,,,8.36
66551,121.2194,20.2331,,,,,8.94
66637,121.2253,12.1787,,,,,7.82
66714,121.2341,4.0325,,,,,8.1
66686,121.2538,10.5000,,,,,7.28
66685,121.3097,14.7549,,,,,8.75
66777,121.3267,5.4187,,,,,8.54
66711,121.3411,17.6218,,,,,7.89
66801,121.3518,5.8275,,,,,7.23
66776,121.3523,8.1996,,,,,7.93
66775,121.3883,13.5041,,,,,6.79
66877,121.3917,0.6932,,,,,8.33
66662,121.3917,26.1159,,,,,8.12
66684,121.4044,27.5297,,,,,6.21
66925,121.4488,2.1651,,,,,6.82
66924,121.4498,3.1722,,,,,7.67
66923,121.4928,9.3307,,,,,9.13
66851,121.5173,18.7464,,,,,8.82
66800,121.5305,25.4939,,,,,8.1
66922,121.5378,15.3467,,,,,7.58
67029,121.5584,1.1774,,,,,7.32
67067,121.5843,0.3057,,,,,8.39
66948,121.6434,22.4567,,,,,7.2
66921,121.6538,24.1468,,,,,8.97
67109,121.7012,9.7673,,,,,7.99
67047,121.7344,22.7754,,,,,7.77
67089,121.7452,15.1554,,,,,8.09
67048,121.7559,20.8916,,,,,7.68
67177,121.7770,9.9801,,,,,6.81
67046,121.8126,28.5918,,,,,8.78
67230,121.8239,7.2831,,,,,7.66
67151,121.8291,17.1787,,,,,9.75
67150,121.8587,19.8177,,,,,7.68
67175,121.9333,27.0133,,,,,7.84
67392,121.9575,4.0060,,,,,8.59
67227,121.9615,22.7827,,,,,8.83
67373,121.9616,5.1372,,,,,8.28
67226,121.9634,24.0181,,,,,8.06
67347,122.0109,17.9717,,,,,8.84
67348,122.0156,14.3505,,,,,7.75
67371,122.0286,16.4172,,,,,8.8
67346,122.0361,19.2159,,,,,7.62
67321,122.0838,25.5529,,,,,8.13
67403,122.0936,14.8536,,,,,8.26
67425,122.0968,13.1534,,,,,7.18
67503,122.1149,5.3667,,,,,7.58
67547,122.1584,1.8951,,,,,7.33
67424,122.1637,19.7707,,,,,8.5
67567,122.1717,2.9452,,,,,8.81
67591,122.2007,2.1647,,,,,9.26
67614,122.2031,0.4595,,,,,7.47
67589,122.2550,8.0395,,,,,7.72
67588,122.2694,10.5098,,,,,8.34
67662,122.3035,3.7879,,,,,9.44
67564,122.3298,20.1188,,,,,9.1
67717,122.3423,1.3141,,,,,7.59
67544,122.3536,24.8261,,,,,7.29
67715,122.3845,5.9269,,,,,7.76
67542,122.3966,29.0931,,,,,6.47
67613,122.4265,25.5591,,,,,7.45
67810,122.4365,0.3361,,,,,8.63
67744,122.4637,12.6892,,,,,7.8
67712,122.4775,17.2516,,,,,8.15
67628,122.4913,29.1250,,,,,7.49
67852,122.4936,1.0205,,,,,7.72
67743,122.5038,17.0165,,,,,7.34
67711,122.5058,19.0473,,,,,8.88
67789,122.5273,14.5080,,,,,7.59
67874,122.5504,5.2738,,,,,8.31
67709,122.5580,27.0892,,,,,8.02
67873,122.5747,9.1681,,,,,6.8
68018,122.6682,2.9495,,,,,6.94
67960,122.6931,10.2442,,,,,8.4
67959,122.7454,14.6295,,,,,6.22
68062,122.7623,9.5767,,,,,8.07
68099,122.8192,9.8212,,,,,6.08
68172,122.8625,4.3805,,,,,8.24
68171,122.8741,6.0232,,,,,8.62
68040,122.8780,23.4823,,,,,8.6
68098,122.8968,16.9979,,,,,8.56
68170,122.9000,9.6777,,,,,8.72
68122,122.9031,16.2177,,,,,7.3
68200,122.9087,6.1691,,,,,7.74
68198,122.9363,11.1834,,,,,7.85
68169,122.9532,16.0979,,,,,8.39
68285,122.9549,0.6090,,,,,8.2
68168,122.9550,16.5239,,,,,7.34
68197,122.9559,13.4456,,,,,7.28
68284,122.9566,4.2745,,,,,7.75
68224,122.9872,13.3891,,,,,8.75
68140,123.0180,25.1803,,,,,8.76
68380,123.0564,2.2892,,,,,7.94
68332,123.0924,14.0041,,,,,6.53
68331,123.1328,18.5169,,,,,8.98
68254,123.1505,28.8202,,,,,8.01
68379,123.1536,14.5882,,,,,8.66
68425,123.1604,11.1911,,,,,7.65
68282,123.1646,26.2242,,,,,8.29
68253,123.1851,29.5419,,,,,8.56
