hd,ra,dec,flamsteed,bayer,const,propername,mag
224752,0.1114,-79.0620,,,,,8.65
224766,0.1341,-72.2027,,,,,9.59
224767,0.1467,-77.0201,,,,,8.56
224790,0.1885,-72.3182,,,,,8.55
224866,0.3366,-70.1253,,,,,8.53
224879,0.3804,-72.6059,,,,,8.55
225168,0.9922,-71.2787,,,,,9.62
225169,1.0027,-80.3951,,,,,7.91
225233,1.1272,-72.8973,,,,,7.33
225235,1.1394,-76.3465,,,,,8.93
225236,1.1447,-76.8736,,,,,9.09
225231,1.1478,-71.6950,,,,,8.73
225254,1.1556,-81.3453,,,,,9.13
225252,1.1658,-70.4043,,,,,7.46
225253,1.1720,-71.4369,,,,,5.59
225299,1.2444,-70.2124,,,,,8.13
225300,1.2461,-70.4925,,,,,8.41
69,1.3423,-79.2538,,,,,7.71
161,1.5174,-84.0982,,,,,8.51
183,1.6120,-74.4011,,,,,9.85
218,1.6968,-70.5894,,,,,8.03
276,1.8056,-76.7309,,,,,7.56
312,1.8579,-77.4942,,,,,8.4
385,1.9033,-86.0388,,,,,7.39
368,1.9972,-78.2110,,,,,7.79
369,2.0015,-78.5988,,,,,7.18
384,2.0499,-70.0558,,,,,8.74
442,2.1616,-74.2385,,,,,7.38
581,2.4850,-78.5906,,,,,8.78
592,2.5134,-77.4804,,,,,9.08
610,2.5184,-79.0018,,,,,7.88
626,2.5333,-78.3007,,,,,6.97
624,2.5746,-70.8369,,,,,9.37
635,2.6144,-73.6494,,,,,9.87
661,2.6599,-73.2244,,,,,6.66
677,2.6948,-73.5075,,,,,9.4
911,2.7867,-87.4142,,,,,8.85
783,2.9030,-80.1737,,,,,7.21
751,2.9053,-72.2755,,,,,8.85
793,2.9807,-75.4768,,,,,7.49
1348,3.1403,-88.3629,,,,,7.22
1032,3.3315,-84.9940,,,,,5.78
987,3.4703,-74.6883,,,,,8.76
1025,3.5170,-74.9120,,,,,6.97
1174,3.9206,-71.4261,,,,,8.78
1221,3.9789,-75.9116,,,,,6.49
1209,4.0133,-71.2514,,,,,9.22
1237,4.0479,-79.8512,,,,,6.59
1261,4.1016,-70.3924,,,,,7.18
1324,4.2010,-78.7802,,,,,6.78
1372,4.3395,-71.9158,,,,,10.07
1455,4.4553,-79.2324,,,,,7.92
1525,4.5235,-83.0613,,,,,9.76
1485,4.5692,-75.6633,,,,,8.43
1558,4.7722,-77.9889,,,,,7.8
1572,4.8583,-70.6616,,,,,8.2
1686,5.0708,-77.2226,,,,,7.87
2205,5.1731,-87.6670,,,,,8.73
1707,5.1812,-71.9780,,,,,8.3
1783,5.2147,-81.6121,,,,,9.58
1801,5.3698,-77.4269,,,,,5.96
1893,5.6449,-73.0324,,,,,8.59
1964,5.6910,-79.3129,,,,,9.81
2031,5.7310,-82.6835,,,,,9.42
1992,5.8106,-76.0046,,,,,9.03
2002,5.8172,-76.7243,,,,,7.99
2040,6.0300,-70.4439,,,,,9.27
2090,6.0556,-75.6794,,,,,8.3
2134,6.1109,-78.2504,,,,,8.81
2133,6.1717,-74.2346,,,,,9.63
2243,6.3523,-74.4042,,,,,8.77
2519,6.7122,-83.1391,,,,,8.03
2386,6.7278,-71.2377,,,,,9.09
2420,6.7397,-76.3152,,,,,8.91
2432,6.7444,-75.7840,,,,,9.52
2431,6.7962,-73.3973,,,,,10.41
2496,6.8953,-75.6136,,,,,8.28
2466,6.9093,-71.8826,,,,,8.51
3160,8.3002,-78.6651,,,,,9.11
3932,8.8176,-86.7052,,,,,8.81
3376,8.9299,-71.5412,,,,,9.67
3395,8.9471,-73.2220,,,,,7.84
3427,8.9658,-74.8697,,,,,8.35
3452,9.1174,-70.2627,,,,,9.1
3528,9.2069,-76.3096,,,,,6.72
3614,9.2754,-79.0823,,,,,10.09
3913,9.2866,-85.2526,,,,,8.07
3613,9.3311,-77.4862,,,,,8.74
3601,9.3474,-75.6068,,,,,7.98
3763,9.4907,-81.1775,,,,,9.02
3689,9.5749,-73.9628,,,,,7.43
3982,9.6529,-84.0872,,,,,8.55
3719,9.6694,-73.1376,,,,,6.87
4152,9.6901,-85.4124,,,,,7.74
3738,9.7517,-72.2826,,,,,8.51
3988,9.8138,-83.0329,,,,,8.34
4229,9.9094,-85.7009,,,,,6.81
3815,9.9213,-71.1036,,,,,8.68
3948,9.9487,-80.6561,,,,,7.9
3880,10.0028,-73.7618,,,,,8.5
4040,10.3399,-75.8128,,,,,8.61
4027,10.3612,-73.1129,,,,,9.97
4067,10.3995,-74.1771,,,,,9.03
4192,10.8038,-70.2970,,,,,9.29
4309,11.0317,-74.2653,,,,,7.57
4863,11.0887,-85.8915,,,,,8.28
4333,11.1303,-71.1687,,,,,8.13
4438,11.1473,-78.0822,,,,,6.61
4547,11.2728,-79.6639,,,,,8.8
12697,11.3748,-89.1690,,,,,9.69
4533,11.3844,-75.9185,,,,,9.38
4557,11.5316,-71.2295,,,,,9.86
4577,11.5959,-71.7824,,,,,9.21
4645,11.6182,-76.9217,,,,,9.23
4894,11.6270,-84.0125,,,,,8.53
4651,11.7706,-72.8255,,,,,9.76
4946,11.9245,-82.5079,,,,,9.19
4805,11.9614,-78.2676,,,,,9.11
5406,12.5033,-84.9352,,,,,8.72
5278,12.5385,-83.7439,,,,,7.94
5030,12.6316,-73.4785,,,,,11.18
5045,12.6599,-73.4717,,,,,11.04
5028,12.7184,-71.1514,,,,,6.86
5193,12.8510,-78.6440,,,,,9.87
5210,13.0061,-74.8701,,,,,8.69
5277,13.2135,-73.1149,,,,,10.95
5291,13.2704,-72.6334,,,,,10.84
5303,13.2807,-74.6516,,,,,7.61
5370,13.4229,-73.8694,,,,,8.44
5467,13.4277,-79.1718,,,,,9.47
5489,13.5381,-77.8584,,,,,9.11
5499,13.7483,-74.3024,,,,,6.68
5757,13.9592,-80.7089,,,,,9.72
5713,14.1390,-75.4066,,,,,8.93
5811,14.3393,-76.5539,,,,,7.39
5785,14.4674,-70.4584,,,,,8.76
5795,14.4886,-70.8693,,,,,9.03
6005,14.8423,-73.7489,,,,,9.33
6058,14.8914,-75.8146,,,,,8.05
6072,14.9212,-75.8138,,,,,8.87
6045,15.0420,-70.1768,,,,,8.03
6090,15.0789,-72.7433,,,,,10.59
6145,15.0918,-75.3174,,,,,9.27
6160,15.2571,-70.1913,,,,,10.11
6222,15.3879,-71.5495,,,,,7.76
