hd,ra,dec,flamsteed,bayer,const,propername,mag
25022,60.0435,40.0137,,,,,6.89
24980,60.0853,47.5717,,,,,8.35
24994,60.0884,46.8089,,,,,9.27
237204,60.0970,56.9016,,,,,9.18
279262,60.1129,34.3582,,,,,10.17
24942,60.1196,52.9475,,,,,8.65
25057,60.1450,42.2255,,,,,8.02
24866,60.1948,61.6833,,,,,9.33
25031,60.2115,48.2440,,,,,8.76
25143,60.2355,32.4209,,,,,8.62
25100,60.2748,43.4609,,,,,8.27
281457,60.2757,33.4705,,,,,9.68
24807,60.2900,67.0464,,,,,8.75
279276,60.3015,37.1267,,,,,8.44
25152,60.3118,36.9895,,,,,6.39
25142,60.3194,40.0946,,,,,7.2
25021,60.3378,56.0398,,,,,7.29
25185,60.3546,32.2687,,,,,8.93
25099,60.3585,47.4504,,,,,7.14
281460,60.3762,33.1477,,,,,9.45
276034,60.3867,38.6678,,,,,9.24
25184,60.3951,38.6655,,,,,7.74
232871,60.4023,50.7280,,,,,9.44
25056,60.4055,53.8659,,,,,7.04
24921,60.4171,64.3575,,,,,8.27
24806,60.4205,68.8457,,,,,8.01
237206,60.4255,56.1768,,,,,8.8
25151,60.4420,44.5488,,,,,8.8
25239,60.4432,32.2153,,,,,9.28
25109,60.4582,50.6382,,,,,8.04
25133,60.4762,49.9263,,,,,8.22
24992,60.4931,62.5141,,,,,8.0
25182,60.5197,44.7422,,,,,8.91
25197,60.5399,45.7343,,,,,8.68
232874,60.5656,53.7533,,,,,8.9
25055,60.5693,60.6933,,,,,9.23
25195,60.5844,47.5066,,,,,7.91
25295,60.6010,31.3307,,,,,8.32
25237,60.6134,46.0126,,,,,9.86
25194,60.6147,48.3953,,,,,9.19
25310,60.6189,31.4911,,,,,8.65
25271,60.6225,39.0973,,,,,7.71
25309,60.6509,32.9095,,,,,8.51
281465,60.6582,32.8592,,,,,9.82
25150,60.6657,56.3847,,,,,8.28
25308,60.6740,35.3996,,,,,8.57
25132,60.6822,58.9493,,,,,7.55
25246,60.6843,46.9969,,,,,8.39
25140,60.7202,58.9245,,,,,8.14
25090,60.7298,62.4213,,,,,7.34
281486,60.7360,31.9318,,,,,9.87
279307,60.7596,34.6255,,,,,10.09
25235,60.7690,52.6290,,,,,8.84
25320,60.7776,41.9321,,,,,7.86
25256,60.7841,50.6048,,,,,8.94
25338,60.7899,37.1212,,,,,7.29
25354,60.7952,38.0548,,,,,7.84
25373,60.8042,34.8335,,,,,7.61
25329,60.8115,35.2733,,,,,8.51
281452,60.8291,33.6859,,,,,9.97
25293,60.8422,48.8409,,,,,6.97
25294,60.8524,48.2264,,,,,9.0
25226,60.8705,57.7136,,,,,7.98
25367,60.8803,42.1820,,,,,7.9
25122,60.8855,64.2424,,,,,8.68
279393,60.9120,34.8310,,,,,9.74
232880,60.9124,52.1251,,,,,9.66
25305,60.9507,51.8982,,,,,8.91
25411,60.9517,37.9722,,,,,7.62
25292,60.9632,53.2775,,,,,7.82
279351,60.9666,36.1835,,,,,10.26
281451,60.9732,33.9491,,,,,10.38
276029,60.9800,39.7387,,,,,10.71
25389,60.9963,43.9887,,,,,7.71
25444,61.0294,39.5097,,,,,7.13
25454,61.0293,37.6111,,,,,8.58
25363,61.0349,49.8146,,,,,9.31
25410,61.0419,42.5277,,,,,8.19
25431,61.0602,43.0384,,,,,8.71
25348,61.0902,53.3290,,,,,8.17
25476,61.0979,38.7965,,,,,7.51
281563,61.1001,32.6213,,,,,9.69
237213,61.1023,56.0054,,,,,8.71
25291,61.1132,59.1555,,,,,5.0
25337,61.1223,55.7406,,,,,8.51
25475,61.1271,41.1006,,,,,8.0
279327,61.1304,37.5625,,,,,9.13
25508,61.1407,35.9206,,,,,7.97
25362,61.1541,55.0665,,,,,6.55
25409,61.1552,50.1011,,,,,9.14
25554,61.1603,30.8842,,,,,9.19
25347,61.1634,56.7421,,,,,7.99
25539,61.1795,32.5712,,,,,6.87
25518,61.1826,38.9006,,,,,8.18
232881,61.1977,54.9812,,,,,8.92
25538,61.2407,37.0875,,,,,8.0
25361,61.2436,58.6598,,,,,7.74
25517,61.2827,44.2782,,,,,9.27
25595,61.3697,40.3015,,,,,7.61
25658,61.3894,31.4972,,,,,7.21
25657,61.4002,34.2392,,,,,6.64
25644,61.4025,35.1652,,,,,8.53
25515,61.4041,50.7594,,,,,8.68
25582,61.4211,45.6225,,,,,8.82
237215,61.4264,57.1269,,,,,9.09
25568,61.4315,47.2249,,,,,8.41
25408,61.4744,61.7944,,,,,7.59
25427,61.4937,61.6328,,,,,7.91
25616,61.5089,46.9256,,,,,6.77
25274,61.5132,68.6800,,,,,5.88
25603,61.5156,47.2901,,,,,8.42
