hd,ra,dec,flamsteed,bayer,const,propername,mag
86694,150.0161,-5.0127,,,,,7.75
86710,150.0554,-6.7058,,,,,8.59
86762,150.0708,-16.5037,,,,,8.16
86708,150.0733,-1.0572,,,,,9.23
86782,150.0932,-17.8299,,,,,8.69
86780,150.1367,-9.6126,,,,,8.28
86830,150.1503,-27.1555,,,,,8.18
86795,150.1823,-7.0979,,,,,8.24
86814,150.2312,-4.2649,,,,,8.62
86829,150.2467,-3.1893,,,,,7.07
86917,150.2951,-23.1465,,,,,7.7
86916,150.3157,-22.7650,,,,,7.82
86913,150.3424,-15.4541,,,,,7.96
86929,150.3815,-18.5395,,,,,8.66
86902,150.3976,-1.0181,,,,,7.19
86903,150.4013,-2.9075,,,,,9.31
86972,150.4054,-15.4248,,,,,8.65
86950,150.4067,-17.3330,,,,,7.47
87019,150.4346,-23.8069,,,,,6.8
87009,150.4361,-26.4642,,,,,7.68
87038,150.4646,-28.6761,,,,,8.08
86989,150.4655,-12.8988,,,,,7.93
86947,150.4672,-2.2710,,,,,8.88
87037,150.4684,-28.6711,,,,,8.65
87017,150.4917,-14.3928,,,,,7.59
87007,150.4941,-10.4054,,,,,8.82
87036,150.5210,-15.0291,,,,,7.59
87016,150.5422,-10.4305,,,,,7.46
87052,150.5482,-19.7668,,,,,9.43
87097,150.6179,-15.1323,,,,,8.46
87098,150.6248,-16.0161,,,,,8.06
87096,150.6383,-13.2965,,,,,6.98
87130,150.6543,-20.4240,,,,,6.82
87115,150.6782,-6.5036,,,,,8.79
87163,150.6986,-22.1003,,,,,7.97
87095,150.7052,-1.0678,,,,,6.7
87144,150.7350,-5.6179,,,,,7.33
87161,150.7742,-8.8865,,,,,8.04
87230,150.8023,-20.9309,,,,,7.78
87197,150.8050,-6.6385,,,,,9.11
87247,150.8350,-17.1824,,,,,7.67
87214,150.8375,-10.7274,,,,,7.08
87229,150.8510,-12.8716,,,,,8.42
87320,150.9058,-29.0433,,,,,8.1
87246,150.9106,-3.4807,,,,,8.12
87274,150.9118,-12.8772,,,,,7.09
87319,150.9159,-26.9095,,,,,7.4
87262,150.9208,-9.5738,,,,,6.09
87318,150.9234,-25.3167,,,,,6.71
87291,150.9538,-10.1530,,,,,8.09
87273,150.9582,-8.3858,,,,,8.9
87345,150.9770,-25.4684,,,,,8.78
87331,150.9819,-18.8846,,,,,9.6
87361,150.9835,-28.4987,,,,,8.01
87290,150.9849,-7.6619,,,,,9.18
87330,151.0056,-18.1011,,,,,7.14
87344,151.0117,-18.1014,,,,,6.3
87329,151.0690,-1.6927,,,,,8.52
87416,151.0742,-28.3788,,,,,7.27
87394,151.0789,-22.5591,,,,,7.8
87427,151.0873,-24.2855,,,,,5.7
87415,151.1080,-19.4128,,,,,8.49
87449,151.1107,-27.7288,,,,,8.91
87359,151.1116,-7.2184,,,,,7.49
87425,151.1495,-17.9393,,,,,7.64
87424,151.1569,-11.7297,,,,,8.15
87475,151.1704,-24.0210,,,,,9.25
87414,151.1792,-8.8777,,,,,9.06
87488,151.2042,-28.1887,,,,,6.99
87505,151.2398,-21.6354,,,,,9.13
87447,151.2474,-0.4755,,,,,8.71
87514,151.2964,-16.9540,,,,,7.86
87556,151.3001,-28.1970,,,,,6.97
87486,151.3014,-3.5174,,,,,7.32
87513,151.3329,-11.2011,,,,,8.46
87502,151.3369,-3.3742,,,,,7.57
87535,151.3697,-9.5480,,,,,7.85
87584,151.4028,-13.5564,,,,,9.15
87637,151.4211,-24.1711,,,,,8.69
87624,151.4605,-12.0173,,,,,8.91
87659,151.4686,-27.2751,,,,,7.49
87636,151.4756,-20.5453,,,,,8.64
87602,151.4793,-5.4230,,,,,9.27
87657,151.4873,-25.8372,,,,,9.43
87685,151.5229,-29.1187,,,,,7.21
87672,151.5364,-20.9487,,,,,7.29
87650,151.5669,-1.4914,,,,,9.23
87726,151.6064,-26.5980,,,,,7.71
87744,151.6124,-28.6488,,,,,8.12
87724,151.6315,-21.2855,,,,,8.4
87721,151.6376,-16.3385,,,,,8.23
87743,151.6623,-19.3108,,,,,8.01
87756,151.6677,-23.1396,,,,,7.65
87706,151.6860,-2.3947,,,,,8.6
87794,151.7083,-29.9663,,,,,9.22
87793,151.7103,-24.7156,,,,,7.15
87719,151.7234,-1.7238,,,,,8.65
87768,151.7244,-17.4442,,,,,6.72
87767,151.7332,-12.8799,,,,,9.07
87792,151.7356,-23.5433,,,,,8.89
87742,151.7455,-3.2840,,,,,7.76
87809,151.7736,-17.4844,,,,,7.85
87764,151.7743,-5.5662,,,,,7.68
87828,151.7779,-28.8678,,,,,7.62
87810,151.7817,-21.2557,,,,,6.66
87808,151.7896,-17.1417,,,,,5.59
87827,151.8327,-15.4553,,,,,8.12
87840,151.8426,-19.7087,,,,,7.41
87807,151.8490,-7.7248,,,,,7.67
87871,151.8529,-24.9353,,,,,8.22
87789,151.8706,-0.2569,,,,,8.8
87870,151.8840,-22.4896,,,,,6.99
87838,151.8909,-6.4392,,,,,7.72
87855,151.9401,-7.6308,,,,,6.63
87888,151.9869,-2.5226,,,,,7.68
87940,152.0306,-19.5645,,,,,8.33
87980,152.0572,-22.3228,,,,,8.64
87979,152.0873,-18.4202,,,,,8.42
87998,152.0891,-19.7552,,,,,7.26
87978,152.1108,-11.1152,,,,,8.15
87975,152.1307,-3.4778,,,,,7.81
87976,152.1359,-4.1467,,,,,8.32
88025,152.1476,-15.6119,,,,,6.25
88035,152.1749,-20.3138,,,,,9.15
88024,152.1902,-10.8848,,,,,6.54
88088,152.2200,-29.7496,,,,,8.33
88076,152.2609,-13.1959,,,,,7.96
88110,152.2827,-23.5666,,,,,8.09
88084,152.2844,-15.4945,,,,,7.52
88109,152.3148,-18.1390,,,,,7.13
88098,152.3450,-8.7209,,,,,9.08
88083,152.3451,-1.6682,,,,,7.93
88108,152.3456,-13.3623,,,,,7.09
88107,152.3543,-9.9286,,,,,9.06
88106,152.3697,-3.9478,,,,,8.15
88135,152.4085,-11.8952,,,,,7.43
88168,152.4125,-22.2530,,,,,8.63
88199,152.4220,-23.8880,,,,,9.17
88166,152.4303,-14.7625,,,,,8.04
88198,152.4404,-21.6709,,,,,8.51
88239,152.4717,-25.3926,,,,,10.3
88182,152.4854,-12.0953,,,,,6.24
88250,152.4858,-29.2857,,,,,9.03
88216,152.4933,-18.8640,,,,,8.42
88196,152.5089,-10.8622,,,,,9.42
88215,152.5245,-12.8159,,,,,5.3
88259,152.5297,-23.6506,,,,,9.19
88273,152.5603,-28.2011,,,,,8.79
88248,152.5999,-5.4703,,,,,7.84
88285,152.6307,-15.6249,,,,,9.29
88300,152.6436,-18.6033,,,,,7.14
88298,152.6684,-11.4703,,,,,9.37
88318,152.6809,-18.7179,,,,,8.98
88317,152.6967,-12.8623,,,,,8.67
88375,152.7165,-25.4378,,,,,7.86
88346,152.7178,-15.7092,,,,,6.96
88316,152.7298,-4.3235,,,,,8.78
88359,152.7383,-16.9308,,,,,7.12
88332,152.7555,-2.4151,,,,,7.57
88395,152.7958,-20.2282,,,,,8.7
88358,152.7961,-7.0447,,,,,7.84
88373,152.8200,-9.4020,,,,,8.65
88407,152.8229,-17.6355,,,,,7.46
88372,152.8240,-7.3166,,,,,6.23
88419,152.8295,-18.9572,,,,,6.74
88437,152.8932,-15.0549,,,,,9.12
88426,152.8943,-14.2741,,,,,8.48
88462,152.9181,-26.7106,,,,,8.57
88492,152.9640,-22.6312,,,,,8.62
88491,152.9873,-21.2828,,,,,8.19
88478,153.0052,-6.2029,,,,,7.96
88522,153.0119,-28.6060,,,,,6.28
88538,153.0454,-27.2606,,,,,8.4
88537,153.0675,-19.5523,,,,,8.37
88551,153.0686,-24.1035,,,,,9.4
88536,153.0719,-16.0864,,,,,7.63
88518,153.0721,-11.1351,,,,,8.41
88517,153.0801,-10.3214,,,,,8.42
88549,153.0997,-15.0680,,,,,7.1
88563,153.1111,-17.0166,,,,,9.62
88562,153.1248,-15.8898,,,,,8.54
88595,153.1582,-19.1530,,,,,6.45
88583,153.1858,-9.3709,,,,,9.2
88584,153.1893,-12.0265,,,,,8.69
88643,153.1985,-29.4992,,,,,7.37
88582,153.2082,-7.8705,,,,,7.98
88656,153.2199,-28.5134,,,,,9.08
88655,153.2541,-19.6892,,,,,6.87
88631,153.2910,-8.0024,,,,,8.29
88654,153.3185,-8.4456,,,,,7.68
88683,153.3276,-15.6947,,,,,8.2
88699,153.3310,-27.0289,,,,,6.23
88653,153.3531,-0.9406,,,,,9.09
88682,153.3804,-5.0873,,,,,7.45
88752,153.4271,-27.9615,,,,,8.91
88709,153.4432,-5.2198,,,,,7.5
88767,153.4676,-23.0804,,,,,7.76
88726,153.4774,-4.1246,,,,,8.31
88766,153.5151,-14.7258,,,,,7.9
88751,153.5326,-7.2866,,,,,9.65
88806,153.5373,-23.8139,,,,,6.36
88788,153.5816,-12.5845,,,,,8.58
88885,153.6371,-27.0363,,,,,9.19
88803,153.6394,-1.1270,,,,,8.09
88871,153.6570,-21.7282,,,,,8.65
88832,153.6774,-2.8758,,,,,8.12
88831,153.7062,-0.2873,,,,,8.92
88915,153.7129,-28.8203,,,,,9.41
88868,153.7362,-8.7406,,,,,8.73
88912,153.7547,-15.0416,,,,,9.37
88899,153.7554,-13.7968,,,,,8.87
88953,153.7784,-24.9878,,,,,8.3
88898,153.7814,-6.4236,,,,,8.87
88991,153.8907,-18.9345,,,,,8.25
88972,153.9101,-11.1884,,,,,7.96
88990,153.9791,-2.4144,,,,,8.77
89075,154.0042,-26.5945,,,,,8.53
89012,154.0052,-5.0960,,,,,7.85
89090,154.0170,-28.6140,,,,,7.24
89073,154.0324,-18.7149,,,,,8.52
89026,154.0330,-1.5978,,,,,7.85
89033,154.0375,-11.2034,,,,,6.08
89101,154.0631,-27.7097,,,,,8.26
89088,154.0680,-16.1421,,,,,7.29
89057,154.0705,-5.8290,,,,,7.81
89117,154.0786,-28.9785,,,,,7.71
89072,154.0979,-5.2585,,,,,8.55
89132,154.1367,-19.3082,,,,,6.7
89087,154.1441,-2.6019,,,,,8.19
89167,154.1856,-18.3113,,,,,8.34
89169,154.1912,-20.6697,,,,,6.57
89114,154.1947,-2.7976,,,,,7.66
89149,154.1952,-13.0995,,,,,7.18
89130,154.1985,-10.7729,,,,,8.81
89147,154.2310,-8.9161,,,,,9.61
89166,154.2513,-9.0419,,,,,8.95
89211,154.2552,-29.6699,,,,,7.94
89257,154.3159,-26.8632,,,,,8.84
89256,154.3256,-25.0804,,,,,8.73
89226,154.3821,-3.5339,,,,,8.32
89282,154.3895,-23.8763,,,,,7.32
89271,154.4057,-17.5368,,,,,8.32
89280,154.4172,-21.5889,,,,,7.31
89297,154.4236,-22.6559,,,,,9.34
89313,154.4247,-28.8217,,,,,8.99
89270,154.4324,-12.0788,,,,,7.86
89295,154.4616,-13.5269,,,,,8.63
89338,154.4714,-27.5533,,,,,8.26
89312,154.4725,-21.0263,,,,,7.33
89278,154.4914,-3.8240,,,,,8.43
89310,154.5213,-6.4230,,,,,8.7
89353,154.5316,-28.9920,,,,,5.52
89370,154.5422,-27.1921,,,,,8.5
89322,154.5664,-1.2445,,,,,8.1
89351,154.5990,-13.3048,,,,,7.01
89391,154.6046,-26.5003,,,,,7.94
89378,154.6527,-7.5023,,,,,9.35
89379,154.6764,-8.6601,,,,,8.68
89420,154.7094,-23.1814,,,,,7.59
89437,154.7486,-20.3112,,,,,8.58
89418,154.7509,-11.1851,,,,,7.82
89456,154.7785,-15.3259,,,,,8.66
89434,154.7936,-9.3354,,,,,8.39
89454,154.8178,-11.3785,,,,,8.03
89455,154.8203,-12.5281,,,,,6.01
89509,154.8505,-18.7848,,,,,8.59
89537,154.8514,-25.2876,,,,,8.97
89490,154.8848,-5.1061,,,,,6.38
89507,154.8986,-5.2274,,,,,7.72
89488,154.9133,-0.2099,,,,,7.7
89584,154.9492,-28.9624,,,,,8.29
89566,154.9534,-22.5234,,,,,7.79
89581,154.9536,-22.9713,,,,,7.36
89565,154.9978,-9.0590,,,,,6.31
89578,155.0291,-4.3434,,,,,7.99
89605,155.0523,-12.2089,,,,,9.24
89638,155.0549,-23.1026,,,,,7.48
89634,155.0910,-12.1526,,,,,8.8
89657,155.1123,-16.7172,,,,,8.66
89671,155.1206,-18.9619,,,,,8.76
89694,155.1353,-23.6445,,,,,10.65
89675,155.1528,-16.3508,,,,,8.55
89670,155.1618,-6.1928,,,,,7.25
89668,155.1809,-1.4698,,,,,9.41
89669,155.1845,-5.3821,,,,,6.97
89708,155.1921,-19.0502,,,,,7.49
89707,155.2083,-15.4799,,,,,7.17
89749,155.2400,-28.7410,,,,,9.16
89720,155.2799,-5.4150,,,,,6.69
89747,155.2832,-17.9850,,,,,6.5
89721,155.2893,-8.7097,,,,,7.66
89760,155.2944,-17.5973,,,,,8.76
89746,155.3106,-13.7865,,,,,6.56
89777,155.3200,-17.0487,,,,,9.35
89796,155.3397,-25.3730,,,,,6.71
89734,155.3428,-0.2203,,,,,7.84
89817,155.3511,-26.2622,,,,,8.22
89816,155.3694,-23.7108,,,,,6.47
89829,155.3846,-29.9380,,,,,7.81
89776,155.3976,-3.8594,,,,,7.46
89851,155.3987,-28.2782,,,,,8.49
89828,155.3994,-22.5285,,,,,6.52
89826,155.4289,-15.2000,,,,,8.63
89795,155.4311,-9.7739,,,,,7.84
89886,155.4605,-24.4359,,,,,7.45
89884,155.4975,-18.0345,,,,,7.12
89885,155.5063,-20.5758,,,,,7.12
89824,155.5142,-0.7515,,,,,7.31
89913,155.5395,-21.2761,,,,,8.09
89897,155.5449,-13.4097,,,,,6.91
89911,155.5539,-19.8666,,,,,6.12
89948,155.5910,-29.5559,,,,,7.5
89909,155.5969,-4.4254,,,,,7.72
89965,155.5979,-28.8476,,,,,9.44
89945,155.6741,-9.3951,,,,,7.05
89981,155.6928,-19.4330,,,,,8.05
89964,155.6954,-6.7536,,,,,8.6
90016,155.7108,-26.6736,,,,,8.37
90028,155.7143,-28.0135,,,,,8.32
90027,155.7469,-24.3337,,,,,6.83
89980,155.7488,-11.2810,,,,,8.68
90014,155.7630,-16.1697,,,,,8.88
90012,155.8199,-7.7733,,,,,8.12
90045,155.8231,-13.3772,,,,,6.61
90094,155.8750,-26.0563,,,,,7.16
90057,155.8861,-3.6429,,,,,6.39
90081,155.8943,-12.4866,,,,,8.12
90093,155.9030,-23.4673,,,,,8.13
90085,155.9111,-20.2377,,,,,8.06
90080,155.9536,-2.2760,,,,,7.24
90156,155.9803,-29.6455,,,,,6.92
90128,155.9946,-13.3213,,,,,8.66
90127,156.0265,-4.9274,,,,,7.28
90167,156.0527,-17.4330,,,,,8.41
90198,156.0549,-27.4260,,,,,8.5
90197,156.0577,-24.6065,,,,,7.12
90185,156.1038,-7.5881,,,,,7.91
90227,156.1087,-25.5657,,,,,7.05
90184,156.1473,-2.6203,,,,,8.89
90242,156.1532,-19.0925,,,,,8.08
90243,156.1791,-21.5284,,,,,8.59
90268,156.1871,-27.2766,,,,,8.26
90212,156.1917,-0.7902,,,,,7.84
90283,156.2082,-24.9720,,,,,7.98
90211,156.2131,-0.4018,,,,,8.05
90239,156.2327,-3.5189,,,,,8.49
90241,156.2349,-9.7925,,,,,8.25
90308,156.2476,-27.6214,,,,,8.25
90307,156.2698,-26.3581,,,,,7.43
90323,156.3151,-19.8033,,,,,8.27
90324,156.3201,-23.5377,,,,,9.03
90322,156.3399,-15.0266,,,,,8.76
90366,156.3489,-29.1938,,,,,6.62
90320,156.3667,-12.7627,,,,,7.23
90306,156.3682,-2.4936,,,,,8.47
90365,156.3962,-21.9532,,,,,7.8
90364,156.4004,-19.5997,,,,,7.13
90362,156.4345,-7.0598,,,,,5.6
90390,156.4626,-20.3253,,,,,7.21
90375,156.4650,-10.0311,,,,,8.76
90387,156.4660,-13.1327,,,,,7.48
90374,156.4866,-7.8587,,,,,7.77
90406,156.4934,-16.6394,,,,,8.36
90431,156.5398,-14.9682,,,,,9.6
90475,156.5699,-29.8633,,,,,8.84
90430,156.5770,-6.4272,,,,,7.0
90447,156.5976,-12.0770,,,,,9.08
90498,156.6459,-21.7563,,,,,9.33
90515,156.6566,-20.4537,,,,,8.25
90514,156.6703,-16.3688,,,,,8.66
90484,156.7244,-0.1485,,,,,7.22
90545,156.7305,-17.6110,,,,,8.79
90527,156.7453,-5.6751,,,,,9.06
90543,156.7671,-9.2230,,,,,8.91
90574,156.7833,-18.2560,,,,,7.66
90596,156.8318,-17.4151,,,,,7.74
90608,156.8342,-23.7831,,,,,8.3
90581,156.8456,-7.8023,,,,,7.91
90606,156.8557,-18.2868,,,,,7.09
90607,156.8572,-21.4418,,,,,8.51
90622,156.8652,-23.1988,,,,,8.99
90595,156.8971,-3.5187,,,,,7.99
90594,156.8980,-0.9629,,,,,7.5
90667,156.9585,-15.9183,,,,,8.01
90702,156.9826,-21.7016,,,,,8.5
90652,156.9855,-2.7129,,,,,8.26
90737,157.0438,-25.8073,,,,,8.51
90711,157.0506,-6.6006,,,,,7.89
90722,157.0580,-16.2892,,,,,7.88
90710,157.1008,-1.1237,,,,,8.2
90721,157.1152,-8.2896,,,,,8.76
90736,157.1196,-9.8812,,,,,7.62
90750,157.1415,-6.3033,,,,,7.58
90776,157.1536,-19.5248,,,,,6.7
90795,157.1545,-24.3918,,,,,8.93
90765,157.1771,-8.9306,,,,,8.98
90812,157.1786,-27.3660,,,,,8.86
90764,157.1806,-5.4180,,,,,9.24
90763,157.1832,-3.7424,,,,,6.05
90792,157.1930,-14.4657,,,,,8.16
90846,157.2591,-22.2530,,,,,8.19
90845,157.2671,-13.7999,,,,,8.85
90826,157.2688,-4.6923,,,,,8.87
90893,157.2765,-28.4792,,,,,8.57
90844,157.2820,-12.4349,,,,,8.11
90906,157.3040,-26.8669,,,,,8.66
90957,157.3707,-29.6638,,,,,5.58
90936,157.3893,-18.2439,,,,,8.37
90955,157.4119,-22.2470,,,,,7.41
90970,157.4158,-25.0764,,,,,8.76
90954,157.4257,-22.0445,,,,,7.12
90934,157.4551,-3.9153,,,,,7.71
90985,157.4747,-18.9368,,,,,8.31
90969,157.5083,-2.2032,,,,,7.95
91032,157.5515,-16.6745,,,,,8.13
91078,157.6050,-23.8513,,,,,8.47
91062,157.6370,-10.8079,,,,,7.35
91123,157.7001,-25.2233,,,,,8.55
91135,157.7142,-26.4838,,,,,6.51
91121,157.7157,-21.2270,,,,,8.73
91134,157.7261,-26.0957,,,,,8.42
91105,157.7432,-6.9981,,,,,8.51
91106,157.7448,-7.6376,,,,,6.2
91120,157.7493,-13.5885,,,,,5.59
91174,157.7540,-26.8675,,,,,9.24
91172,157.7707,-24.1798,,,,,7.72
91209,157.8350,-27.6507,,,,,9.52
91167,157.8583,-3.7434,,,,,8.56
91208,157.8881,-17.0766,,,,,8.04
91183,157.8907,-2.8665,,,,,8.09
91207,157.9078,-14.8851,,,,,7.09
91206,157.9354,-8.9518,,,,,7.89
91280,157.9528,-28.2371,,,,,6.04
91247,157.9978,-10.3551,,,,,8.75
91259,158.0052,-12.1994,,,,,8.93
91248,158.0059,-11.4244,,,,,7.42
