hd,ra,dec,flamsteed,bayer,const,propername,mag
12294,30.0034,-29.0603,,,,,9.28
12264,30.0222,-13.5461,,,,,7.99
12254,30.0348,-4.2836,,,,,7.86
12318,30.0504,-29.8661,,,,,8.58
12262,30.0617,-3.3683,,,,,6.89
12293,30.0693,-16.3461,,,,,9.5
12292,30.1118,-8.5239,,,,,5.43
12330,30.1190,-26.2225,,,,,8.87
12329,30.1231,-22.0755,,,,,8.45
12357,30.1610,-23.2334,,,,,9.05
12369,30.1765,-24.4218,,,,,7.04
12345,30.2031,-12.8750,,,,,8.76
12328,30.2061,-8.4717,,,,,6.92
12383,30.2619,-18.1369,,,,,9.48
12356,30.2677,-2.4953,,,,,7.84
12368,30.2680,-4.2721,,,,,8.87
12406,30.2690,-25.1490,,,,,9.7
12379,30.2731,-11.0491,,,,,7.83
12407,30.2752,-27.6089,,,,,8.61
12416,30.3233,-20.8993,,,,,9.14
12378,30.3389,-0.8849,,,,,8.72
12393,30.3645,-6.5404,,,,,9.02
12462,30.3955,-25.6342,,,,,8.91
12450,30.4520,-12.0081,,,,,8.88
12460,30.4751,-11.8219,,,,,8.05
12480,30.4859,-16.5688,,,,,7.71
12486,30.5051,-21.7285,,,,,9.08
12459,30.5180,-2.5828,,,,,8.71
12497,30.5452,-16.5676,,,,,9.79
12515,30.5471,-24.0399,,,,,7.87
12507,30.5774,-18.8982,,,,,10.04
12540,30.5920,-28.3392,,,,,8.55
12496,30.5972,-7.4582,,,,,8.8
12563,30.6178,-29.6656,,,,,6.4
12539,30.6388,-15.6138,,,,,9.39
12521,30.6415,-13.1416,,,,,8.77
12561,30.6469,-21.9658,,,,,6.97
12562,30.6473,-26.7414,,,,,7.78
12514,30.6682,-1.6246,,,,,8.6
12585,30.6810,-29.8142,,,,,9.21
12520,30.6819,-6.6783,,,,,8.5
12596,30.7156,-23.8866,,,,,6.3
12538,30.7179,-2.3778,,,,,6.91
12583,30.7440,-15.3059,,,,,5.87
12609,30.7589,-21.9119,,,,,7.62
12629,30.7956,-24.7873,,,,,8.85
12656,30.8540,-25.1276,,,,,8.58
12628,30.8559,-17.0330,,,,,8.15
12608,30.8579,-4.3297,,,,,7.6
12627,30.8966,-9.4608,,,,,7.28
12655,30.9093,-18.6224,,,,,9.0
12642,30.9187,-4.1035,,,,,5.61
12626,30.9266,-0.0240,,,,,8.6
12653,30.9525,-4.5788,,,,,8.34
12684,30.9639,-14.4625,,,,,9.39
12685,30.9745,-17.5136,,,,,7.03
12667,30.9774,-2.7125,,,,,7.92
12666,30.9937,-2.0545,,,,,8.95
12703,31.0290,-12.3060,,,,,8.71
12702,31.0519,-11.8598,,,,,6.43
12691,31.0610,-5.7109,,,,,7.91
12731,31.0773,-19.3678,,,,,8.42
12745,31.1263,-16.2170,,,,,7.5
12737,31.1299,-13.8132,,,,,8.41
12754,31.1687,-16.2876,,,,,8.66
12776,31.1945,-17.2875,,,,,7.37
12806,31.2302,-28.3586,,,,,7.94
12786,31.2472,-15.6781,,,,,7.79
12775,31.2568,-10.8511,,,,,8.46
12765,31.2650,-2.0384,,,,,7.92
12784,31.2975,-3.5048,,,,,9.31
12774,31.3064,-0.9689,,,,,8.29
12835,31.3179,-28.5582,,,,,7.34
12834,31.3186,-28.3783,,,,,7.34
12849,31.3345,-23.2653,,,,,9.78
12833,31.3499,-17.4371,,,,,9.83
12815,31.3636,-8.8099,,,,,8.88
12873,31.4061,-24.3795,,,,,8.95
12889,31.4229,-24.3760,,,,,8.55
12863,31.4363,-14.1339,,,,,8.64
12925,31.4705,-28.3562,,,,,9.38
12862,31.4927,-7.1646,,,,,9.31
12911,31.4951,-21.7557,,,,,8.34
12912,31.4973,-22.1507,,,,,8.2
12933,31.5098,-23.4002,,,,,9.34
12901,31.5447,-10.2762,,,,,6.74
12910,31.5591,-9.1954,,,,,8.59
12909,31.5609,-4.3650,,,,,7.36
12944,31.5841,-15.4463,,,,,6.96
12930,31.6089,-9.9908,,,,,8.38
12957,31.6268,-13.9050,,,,,8.94
12975,31.6273,-23.5666,,,,,7.86
12966,31.6438,-14.4640,,,,,8.06
12999,31.6667,-26.8268,,,,,9.59
12943,31.6734,-5.7777,,,,,8.06
12956,31.7007,-1.9338,,,,,8.97
13004,31.7169,-19.1389,,,,,6.39
12974,31.7336,-1.8237,,,,,7.49
13003,31.7388,-15.7057,,,,,7.58
12984,31.7578,-4.2176,,,,,7.72
12998,31.7606,-8.6064,,,,,6.64
13058,31.7852,-29.5428,,,,,9.63
13019,31.8014,-11.6823,,,,,8.27
13064,31.8027,-27.8189,,,,,8.83
13002,31.8027,-7.2256,,,,,8.98
13044,31.8331,-17.6344,,,,,9.41
13083,31.8568,-28.8966,,,,,7.7
13043,31.8928,-0.6174,,,,,6.88
13093,31.9464,-15.3461,,,,,8.69
13118,31.9637,-24.5529,,,,,8.96
13115,31.9932,-16.8329,,,,,8.92
13114,31.9934,-14.2512,,,,,8.33
13117,31.9958,-18.9129,,,,,8.58
13131,32.0000,-21.3475,,,,,7.99
13130,32.0358,-11.8805,,,,,8.26
13168,32.0361,-27.5713,,,,,7.23
13167,32.0574,-24.6954,,,,,8.34
13141,32.0824,-10.0413,,,,,6.98
13166,32.0912,-18.6407,,,,,10.16
13140,32.1103,-6.4696,,,,,8.32
13139,32.1137,-0.4193,,,,,7.73
13155,32.1325,-6.6780,,,,,6.51
13217,32.1514,-26.2992,,,,,9.55
13232,32.1656,-25.7411,,,,,8.9
13213,32.1870,-17.3913,,,,,7.89
13214,32.1899,-17.5536,,,,,9.67
13215,32.1903,-17.7792,,,,,6.07
13231,32.2018,-24.0287,,,,,8.98
13190,32.2031,-3.2057,,,,,8.45
13229,32.2253,-17.8479,,,,,9.0
13239,32.2304,-16.0096,,,,,8.02
13252,32.2355,-27.4196,,,,,9.33
13250,32.2430,-23.8069,,,,,9.13
13251,32.2574,-24.3647,,,,,8.6
13240,32.2636,-16.6485,,,,,8.67
13260,32.2698,-22.9900,,,,,7.27
13288,32.3049,-27.5690,,,,,9.51
13276,32.3210,-19.5702,,,,,7.08
13299,32.3380,-26.2825,,,,,9.01
13287,32.3462,-20.7426,,,,,9.69
13275,32.3829,-9.8688,,,,,8.49
13286,32.3841,-16.9628,,,,,8.01
13305,32.3950,-24.3458,,,,,6.48
13304,32.4042,-16.1263,,,,,7.65
13316,32.4242,-19.6070,,,,,8.92
