hd,ra,dec,flamsteed,bayer,const,propername,mag
224690,0.0042,-19.4988,,,,,9.27
224728,0.0417,-22.5947,,,,,8.8
224726,0.0484,-0.3604,,,,,7.25
224746,0.0764,-23.4527,,,,,9.05
224744,0.0841,-13.3934,,,,,9.13
224743,0.0992,-10.4624,,,,,8.1
224745,0.1030,-14.4905,,,,,9.07
224763,0.1123,-16.6970,,,,,7.46
224776,0.1328,-3.3063,,,,,7.91
224778,0.1346,-25.6223,,,,,8.57
224798,0.1846,-27.9076,,,,,8.08
224810,0.2199,-12.8290,,,,,8.97
224817,0.2428,-11.8237,,,,,8.4
224828,0.2434,-4.9325,,,,,8.57
224829,0.2615,-5.8350,,,,,7.8
224840,0.2805,-5.8743,,,,,7.66
224841,0.2907,-20.7055,,,,,8.68
224839,0.2923,-0.0761,,,,,8.12
224847,0.3020,-11.9640,,,,,8.67
224849,0.3074,-21.4040,,,,,9.48
224883,0.3866,-9.4300,,,,,9.2
224909,0.4252,-1.1400,,,,,9.96
224908,0.4268,-0.2178,,,,,8.64
224910,0.4374,-16.5317,,,,,7.83
224927,0.4559,-25.7985,,,,,8.96
224947,0.5004,-5.2139,,,,,8.51
224945,0.5109,-2.7662,,,,,6.93
224962,0.5197,-22.3275,,,,,10.16
224959,0.5334,-2.8201,,,,,9.56
224961,0.5376,-20.8717,,,,,9.63
224973,0.5602,-11.9644,,,,,8.93
224989,0.5680,-27.1352,,,,,7.97
224974,0.5695,-13.4074,,,,,6.9
224988,0.5709,-9.1749,,,,,8.47
224997,0.6023,-6.0593,,,,,8.99
225005,0.6423,-15.8313,,,,,9.18
225014,0.6456,-5.1867,,,,,8.54
225015,0.6621,-8.4880,,,,,9.05
225039,0.7001,-15.0405,,,,,9.04
225041,0.7004,-24.9453,,,,,10.3
225059,0.7379,-0.8939,,,,,8.09
225045,0.7395,-20.0459,,,,,6.25
225060,0.7637,-7.8155,,,,,8.52
225070,0.7753,-25.2611,,,,,8.65
225069,0.7827,-24.1451,,,,,6.46
225076,0.7947,-24.5883,,,,,7.96
225089,0.8205,-23.6154,,,,,9.15
225088,0.8353,-11.9454,,,,,8.09
225086,0.8354,-4.1458,,,,,8.09
225098,0.8556,-26.4152,,,,,8.82
225099,0.8576,-29.0007,,,,,9.44
225119,0.9046,-28.4171,,,,,8.21
225118,0.9228,-28.3962,,,,,8.24
225155,0.9723,-28.3938,,,,,7.66
225175,1.0329,-25.8927,,,,,8.93
225184,1.0462,-4.9261,,,,,9.56
225185,1.0517,-10.1411,,,,,9.83
225186,1.0630,-17.4249,,,,,9.05
225199,1.0775,-23.2540,,,,,9.44
225198,1.0791,-20.5689,,,,,9.6
225197,1.0825,-16.5290,,,,,5.78
225200,1.0846,-29.2688,,,,,6.38
225206,1.0955,-29.3816,,,,,7.77
225211,1.1256,-6.9654,,,,,8.43
225227,1.1506,-19.4379,,,,,9.18
225226,1.1520,-15.8892,,,,,9.26
225224,1.1660,-8.1850,,,,,8.72
225264,1.2118,-29.6330,,,,,8.28
225280,1.2372,-18.1787,,,,,8.97
6,1.2659,-0.5030,,,,,6.32
20,1.3138,-27.2717,,,,,9.04
27,1.3270,-1.7941,,,,,7.95
31,1.3334,-21.3153,,,,,8.38
46,1.3561,-3.8517,,,,,7.59
48,1.3601,-14.4222,,,,,7.39
62,1.3677,-7.6654,,,,,6.97
63,1.3799,-9.6175,,,,,7.13
91,1.4290,-29.9606,,,,,9.91
90,1.4294,-22.5098,,,,,9.67
88,1.4301,-15.3655,,,,,8.6
97,1.4416,-19.6702,,,,,9.66
141,1.5378,-29.1514,,,,,7.9
140,1.5489,-23.5386,,,,,9.82
137,1.5548,-1.8872,,,,,8.69
139,1.5706,-10.7785,,,,,7.6
146,1.5777,-1.2381,,,,,8.22
148,1.5832,-12.0172,,,,,8.75
156,1.6040,-18.0383,,,,,7.31
155,1.6129,-16.7376,,,,,9.16
171,1.6305,-21.5013,,,,,9.35
189,1.6650,-24.6208,,,,,8.56
202,1.6896,-21.0925,,,,,9.83
200,1.6957,-4.3500,,,,,8.21
203,1.7087,-23.1075,,,,,6.19
208,1.7245,-3.6263,,,,,8.23
225,1.7609,-18.8207,,,,,8.26
233,1.7817,-15.8502,,,,,8.68
241,1.8032,-22.0277,,,,,10.28
257,1.8193,-27.3978,,,,,8.52
256,1.8261,-17.3870,,,,,6.2
268,1.8439,-25.3566,,,,,7.06
266,1.8453,-11.0334,,,,,8.98
267,1.8468,-11.6130,,,,,8.24
283,1.8855,-23.8187,,,,,8.7
305,1.9175,-7.9213,,,,,8.47
