hd,ra,dec,flamsteed,bayer,const,propername,mag
12061,30.0592,58.7177,,,,,8.56
11978,30.0603,67.3820,,,,,8.02
12131,30.0626,44.4200,,,,,6.87
12060,30.0645,59.9071,,,,,8.18
12175,30.0729,38.5976,,,,,7.49
12137,30.0894,44.1027,,,,,7.66
12174,30.1006,39.5370,,,,,8.87
12186,30.1267,39.9670,,,,,8.23
12201,30.1914,41.3612,,,,,8.06
12210,30.1984,39.6254,,,,,7.92
12112,30.2019,59.9593,,,,,6.72
12122,30.2249,60.4216,,,,,8.96
12231,30.2349,38.6841,,,,,8.25
12247,30.2416,34.2818,,,,,8.51
12246,30.2713,35.3062,,,,,8.17
12150,30.2938,58.2035,,,,,8.67
12245,30.3068,41.2124,,,,,6.85
12219,30.3119,47.9437,,,,,8.26
12184,30.3833,59.8031,,,,,8.3
12353,30.4391,32.1214,,,,,8.11
12192,30.4428,61.7527,,,,,8.86
12208,30.4961,61.9050,,,,,7.46
12280,30.4978,52.6551,,,,,8.21
12325,30.5091,45.2943,,,,,8.25
12243,30.5277,60.2949,,,,,8.01
12376,30.5538,36.7170,,,,,8.22
12389,30.5560,33.4088,,,,,7.98
12352,30.5833,46.8425,,,,,7.09
12314,30.5916,53.6288,,,,,7.61
12375,30.6048,42.8492,,,,,7.54
12323,30.6255,55.6240,,,,,8.94
12412,30.6281,37.4993,,,,,8.59
12302,30.6518,59.6881,,,,,8.08
12425,30.6589,38.5440,,,,,8.76
12351,30.6630,53.0794,,,,,8.42
12436,30.6638,33.7631,,,,,7.79
12342,30.6938,57.3103,,,,,8.71
12340,30.7558,61.0652,,,,,9.35
12443,30.7859,45.7774,,,,,8.33
12401,30.7890,55.2324,,,,,8.11
12424,30.7897,48.6204,,,,,7.7
12478,30.7905,36.1108,,,,,7.8
12502,30.8261,32.3897,,,,,8.42
12433,30.8557,54.6935,,,,,7.8
12400,30.8584,58.8321,,,,,8.78
12453,30.8684,51.6517,,,,,7.88
12288,30.8771,69.5823,,,,,7.75
12545,30.9463,35.5913,,,,,8.39
12399,30.9547,64.2375,,,,,7.53
12546,30.9610,33.6981,,,,,7.74
12518,31.0548,51.9678,,,,,6.66
12482,31.0694,60.2443,,,,,7.36
12592,31.0825,39.4036,,,,,8.81
12531,31.0864,51.6933,,,,,8.3
12493,31.1568,61.7445,,,,,9.33
12557,31.1661,54.7564,,,,,8.17
12468,31.1662,65.1035,,,,,6.52
12530,31.1740,57.0880,,,,,8.74
12676,31.1844,30.7075,,,,,8.17
12637,31.1909,39.4351,,,,,8.25
12606,31.2012,49.5601,,,,,9.4
236940,31.2018,56.2620,,,,,9.6
12529,31.2030,60.5063,,,,,8.22
12611,31.2455,50.9561,,,,,8.6
12509,31.2561,64.3856,,,,,7.1
12591,31.2660,55.6223,,,,,6.53
12569,31.2789,60.3454,,,,,7.51
12492,31.3430,68.6048,,,,,8.01
12675,31.3619,50.6432,,,,,6.99
12590,31.3715,61.7869,,,,,8.86
12567,31.3826,64.2870,,,,,8.3
12743,31.4426,39.7598,,,,,7.58
12744,31.4441,38.0062,,,,,8.7
232596,31.4839,53.5059,,,,,8.86
12650,31.4938,60.2784,,,,,8.36
12623,31.5037,63.1723,,,,,7.53
12751,31.5072,41.5329,,,,,6.86
12741,31.5434,46.8599,,,,,7.42
12740,31.5475,49.1563,,,,,7.93
12709,31.5684,57.3071,,,,,7.98
12804,31.6027,38.8997,,,,,7.9
12727,31.6219,57.0463,,,,,9.02
12708,31.6292,61.0448,,,,,8.67
12771,31.6879,54.3067,,,,,8.07
12750,31.7032,58.1374,,,,,9.04
12859,31.7133,37.6387,,,,,8.77
12823,31.7364,47.2309,,,,,8.24
12822,31.7664,49.6252,,,,,8.27
12649,31.7741,69.9438,,,,,8.95
236947,31.8002,58.7877,,,,,8.61
12844,31.8130,48.1007,,,,,8.69
12895,31.8291,43.6419,,,,,8.2
12858,31.8726,52.1291,,,,,8.45
12762,31.8824,65.4821,,,,,8.8
12735,31.8911,66.9893,,,,,9.08
12883,31.9151,51.0977,,,,,8.33
12820,31.9469,59.6292,,,,,9.62
236948,31.9520,58.4435,,,,,9.36
12941,31.9586,44.3619,,,,,7.67
12983,31.9699,35.5538,,,,,7.53
12856,31.9726,57.1057,,,,,8.55
12867,31.9737,57.7126,,,,,9.41
12965,31.9870,43.1590,,,,,8.36
12761,32.0446,69.8812,,,,,8.3
13025,32.1060,39.3964,,,,,8.49
13014,32.1086,43.1910,,,,,7.6
13015,32.1238,42.5164,,,,,8.91
12928,32.1289,58.8653,,,,,7.85
13013,32.1398,44.4594,,,,,6.38
232603,32.1464,52.2819,,,,,9.55
12953,32.1691,58.4236,,,,,5.66
13024,32.1702,42.1630,,,,,7.71
232604,32.1721,52.8928,,,,,9.29
13040,32.1793,43.0269,,,,,8.73
12882,32.1893,65.0374,,,,,7.62
12938,32.1941,60.9549,,,,,8.81
13071,32.2206,39.3487,,,,,7.64
12994,32.2585,57.0360,,,,,8.48
13102,32.2588,35.6747,,,,,8.28
13079,32.2597,39.5923,,,,,8.78
12993,32.2603,57.9322,,,,,9.0
13078,32.2642,40.7942,,,,,8.97
13077,32.2653,41.9655,,,,,7.16
13053,32.2869,51.0733,,,,,8.47
13076,32.2973,45.8408,,,,,7.59
13052,32.3239,54.3199,,,,,8.8
12919,32.3449,68.2782,,,,,8.98
13051,32.3571,56.9917,,,,,8.64
232605,32.3725,52.7380,,,,,9.4
13022,32.3753,58.7838,,,,,8.82
13160,32.4057,37.1164,,,,,8.31
13036,32.4077,59.6204,,,,,8.5
13151,32.4097,42.8581,,,,,7.32
13127,32.4111,44.6717,,,,,8.06
13189,32.4174,32.3164,,,,,7.57
13138,32.4175,42.0083,,,,,7.74
13211,32.4779,32.5494,,,,,8.19
13101,32.4896,55.4874,,,,,8.84
13125,32.5208,54.3313,,,,,8.18
13035,32.5236,65.3484,,,,,8.22
13137,32.5323,53.8431,,,,,6.31
13247,32.5671,33.3653,,,,,8.05
13149,32.6001,56.2971,,,,,7.37
13122,32.6062,59.9798,,,,,6.66
13243,32.6564,45.9273,,,,,8.02
13209,32.6612,53.2147,,,,,8.17
13111,32.6652,63.5983,,,,,8.09
13223,32.6679,51.0544,,,,,7.46
13313,32.6942,30.0783,,,,,8.48
13312,32.7366,36.0216,,,,,8.41
13257,32.7381,47.3373,,,,,8.56
13342,32.7860,30.1157,,,,,8.12
13271,32.8033,51.6115,,,,,8.63
13185,32.8347,64.1458,,,,,8.83
13355,32.8599,37.3522,,,,,8.1
13341,32.8636,39.4644,,,,,8.94
13236,32.8655,61.2059,,,,,8.49
13268,32.8738,56.1588,,,,,8.19
13323,32.8826,47.2091,,,,,8.06
13195,32.9293,66.5143,,,,,8.54
13256,32.9330,60.7124,,,,,8.62
13404,32.9751,36.9662,,,,,8.77
13354,32.9809,49.5965,,,,,8.13
13331,33.0295,57.3128,,,,,8.79
13440,33.0706,37.3668,,,,,8.45
13393,33.0975,50.2528,,,,,9.21
13479,33.1232,32.1497,,,,,7.75
13439,33.1294,41.4670,,,,,8.11
13478,33.1861,39.6440,,,,,8.9
236953,33.2066,59.3985,,,,,9.83
13379,33.2231,59.4280,,,,,8.84
13453,33.2231,48.5717,,,,,7.78
13521,33.2235,35.3221,,,,,9.14
13507,33.2291,40.6683,,,,,7.19
13403,33.2330,57.2045,,,,,7.0
13402,33.2386,59.5385,,,,,8.08
13412,33.2781,58.7994,,,,,7.99
13565,33.2904,30.5588,,,,,7.81
13452,33.3004,54.2188,,,,,8.05
13531,33.3055,40.5076,,,,,7.35
13320,33.3363,69.3672,,,,,8.15
13437,33.3699,59.1960,,,,,7.59
13564,33.3722,40.7902,,,,,7.37
13519,33.3896,53.0586,,,,,6.5
13609,33.4060,31.9190,,,,,8.29
13608,33.4166,32.9813,,,,,8.55
13476,33.4234,58.5606,,,,,6.43
13427,33.4498,64.8550,,,,,7.43
13544,33.4660,53.9146,,,,,8.89
13637,33.4868,38.4074,,,,,8.62
13664,33.4955,34.5141,,,,,8.85
13594,33.5103,47.4842,,,,,6.05
13504,33.5267,61.6844,,,,,8.21
13449,33.5713,66.7283,,,,,7.5
13704,33.5840,30.7250,,,,,7.39
13703,33.5992,34.4605,,,,,8.17
13448,33.6102,68.1274,,,,,8.08
13622,33.6123,52.3173,,,,,8.96
13621,33.6374,55.3171,,,,,8.11
13727,33.6662,33.3156,,,,,8.65
13746,33.6756,30.3948,,,,,7.08
13591,33.6758,59.3947,,,,,8.66
13679,33.6931,46.6875,,,,,6.9
13718,33.6946,41.9058,,,,,8.91
13690,33.7188,48.7824,,,,,6.74
13661,33.7213,54.5317,,,,,7.85
13540,33.7295,66.3210,,,,,7.19
13669,33.7609,55.7932,,,,,8.4
13678,33.7821,55.0882,,,,,6.81
13590,33.8040,64.0245,,,,,7.96
13553,33.8048,67.8989,,,,,9.07
13658,33.8054,58.1423,,,,,8.78
13787,33.8308,39.1693,,,,,7.29
232624,33.8382,50.7340,,,,,9.2
13717,33.8624,55.5951,,,,,7.85
13738,33.8695,52.5111,,,,,6.96
13759,33.8851,49.2098,,,,,8.36
13716,33.9142,57.7633,,,,,8.31
13737,33.9189,54.8558,,,,,8.3
13579,33.9253,67.6723,,,,,7.13
13745,33.9414,55.9963,,,,,7.87
13785,33.9490,49.7010,,,,,8.41
13857,33.9764,36.7706,,,,,7.86
13686,33.9808,63.2363,,,,,7.04
13818,33.9905,47.8119,,,,,6.37
13843,34.0078,42.6969,,,,,7.98
13734,34.0296,60.6302,,,,,8.31
13883,34.0428,39.2245,,,,,8.24
13834,34.0484,46.6617,,,,,8.13
13757,34.0733,60.7192,,,,,8.53
