hd,ra,dec,flamsteed,bayer,const,propername,mag
86878,150.0162,-49.3601,,,,,8.24
86819,150.0248,-36.0432,,,,,7.38
86832,150.0275,-42.4706,,,,,7.89
86864,150.0458,-46.0286,,,,,8.63
86818,150.0569,-35.3134,,,,,7.86
87138,150.0629,-68.1500,,,,,7.97
86934,150.0648,-53.8337,,,,,9.08
86846,150.0752,-36.7398,,,,,8.31
86997,150.0782,-59.0127,,,,,7.96
86933,150.0904,-53.2908,,,,,9.16
86862,150.0963,-40.5758,,,,,8.96
87013,150.1103,-58.7784,,,,,7.86
86888,150.1124,-42.8864,,,,,7.46
87089,150.1414,-61.7584,,,,,7.93
87030,150.1440,-56.9461,,,,,6.5
86957,150.1458,-51.0913,,,,,8.57
87088,150.2251,-58.7394,,,,,8.84
87109,150.2264,-60.2262,,,,,7.64
87285,150.2305,-69.8068,,,,,8.54
86954,150.2367,-38.6092,,,,,9.72
87026,150.2441,-50.4777,,,,,6.91
87012,150.2497,-46.9237,,,,,7.92
86955,150.2500,-40.8987,,,,,8.52
86993,150.2601,-43.7726,,,,,8.85
86976,150.2655,-40.8664,,,,,8.39
87025,150.2708,-47.3527,,,,,8.31
86953,150.2922,-34.6302,,,,,8.37
87122,150.3000,-56.0966,,,,,6.42
87024,150.3039,-44.8329,,,,,8.12
87123,150.3080,-56.6690,,,,,8.02
86992,150.3114,-39.4508,,,,,7.23
86951,150.3132,-31.6872,,,,,9.34
87103,150.3158,-54.7173,,,,,8.58
87192,150.3199,-60.9821,,,,,8.18
87057,150.3280,-47.5325,,,,,9.03
87083,150.3282,-51.2892,,,,,9.08
87023,150.3516,-38.0981,,,,,7.96
87168,150.3639,-58.0982,,,,,9.37
87041,150.3777,-38.0910,,,,,8.89
87222,150.3878,-60.3495,,,,,8.57
87256,150.3889,-62.8509,,,,,8.91
87020,150.4067,-30.8028,,,,,8.8
87190,150.4126,-55.4850,,,,,8.75
87152,150.4197,-53.3641,,,,,6.2
87241,150.4240,-60.1129,,,,,7.84
87102,150.4536,-42.4854,,,,,7.08
87100,150.4635,-38.9207,,,,,7.97
87266,150.4664,-59.9820,,,,,8.22
297731,150.4822,-49.3038,,,,,11.01
87221,150.4839,-55.0033,,,,,7.9
87238,150.4920,-57.3498,,,,,6.2
87283,150.5004,-60.4209,,,,,5.93
87099,150.5018,-34.1736,,,,,7.09
87080,150.5036,-33.6851,,,,,9.4
87254,150.5238,-54.9816,,,,,7.76
87201,150.5472,-46.7830,,,,,8.36
87281,150.5577,-57.7033,,,,,8.28
87253,150.5649,-52.8195,,,,,8.77
87408,150.5692,-65.9180,,,,,7.26
87188,150.5880,-43.1385,,,,,9.01
87460,150.5985,-67.4722,,,,,9.22
87265,150.6360,-48.8621,,,,,7.58
87295,150.6406,-53.1484,,,,,7.68
87323,150.6458,-56.2567,,,,,7.46
87200,150.6847,-31.9706,,,,,8.25
87405,150.7008,-59.9584,,,,,8.5
87251,150.7030,-40.6011,,,,,9.04
87199,150.7054,-30.5775,,,,,6.54
87438,150.7059,-62.1567,,,,,6.41
87436,150.7498,-60.1787,,,,,6.18
87380,150.7558,-54.5584,,,,,9.11
