hd,ra,dec,flamsteed,bayer,const,propername,mag
25162,60.0088,1.4015,,,,,8.25
286418,60.0149,13.1903,,,,,10.31
25063,60.0364,29.7108,,,,,7.81
25153,60.0694,14.3059,,,,,8.28
286457,60.0933,10.7876,,,,,9.33
25205,60.1358,10.1675,,,,,8.25
25175,60.1537,17.2967,,,,,6.31
25186,60.1543,13.8922,,,,,7.31
25203,60.1856,15.4753,,,,,7.65
25248,60.1971,5.0828,,,,,8.6
25202,60.2032,18.1940,,,,,5.89
286459,60.2058,10.5527,,,,,9.15
25201,60.2367,23.2015,,,,,6.52
25257,60.2433,7.8502,,,,,8.76
286425,60.2494,12.2144,,,,,10.54
285315,60.2563,16.5212,,,,,9.96
25275,60.2783,4.5411,,,,,8.77
25230,60.2791,20.1992,,,,,6.76
25229,60.3542,27.6147,,,,,8.38
25228,60.3580,28.5019,,,,,7.08
25330,60.4422,9.9980,,,,,5.67
25311,60.4428,13.8373,,,,,8.28
25331,60.4590,7.6049,,,,,8.65
283247,60.4809,25.9237,,,,,9.03
285289,60.4968,18.7870,,,,,10.13
285305,60.5128,17.2974,,,,,9.44
286442,60.5145,11.3015,,,,,9.15
25368,60.5166,6.5239,,,,,8.45
25400,60.5550,0.0807,,,,,8.35
25322,60.5637,22.4223,,,,,7.82
285333,60.6095,15.1340,,,,,9.57
285360,60.6191,18.0615,,,,,10.03
25412,60.6217,3.8472,,,,,6.91
25391,60.6605,15.0620,,,,,8.74
25355,60.6743,25.9214,,,,,8.16
25465,60.7005,1.8494,,,,,9.67
25464,60.7413,8.1401,,,,,7.36
286444,60.7448,11.3661,,,,,9.79
25382,60.7455,28.4558,,,,,8.82
25463,60.7479,9.2085,,,,,6.91
25456,60.7774,14.4834,,,,,8.48
25445,60.7925,18.6687,,,,,9.0
25477,60.7941,8.8826,,,,,6.65
25521,60.8293,3.0777,,,,,7.15
25520,60.8384,3.1878,,,,,7.08
286481,60.8573,13.9427,,,,,9.72
286502,60.8832,12.8989,,,,,8.9
25462,60.9054,24.9462,,,,,8.69
25461,60.9617,29.1977,,,,,8.18
25487,60.9763,28.1260,,,,,8.05
25570,60.9858,8.1973,,,,,5.45
25519,60.9919,21.0709,,,,,8.02
25606,61.0086,3.8406,,,,,8.0
25621,61.0412,2.8269,,,,,5.36
25532,61.0458,23.4075,,,,,8.2
283341,61.0498,25.3991,,,,,8.62
25584,61.0541,15.0269,,,,,8.01
25557,61.0780,20.6792,,,,,9.09
25605,61.0782,12.5074,,,,,7.45
25682,61.1278,0.2456,,,,,8.32
285391,61.1559,16.6274,,,,,9.2
25627,61.1650,17.5176,,,,,6.64
25708,61.2196,4.7909,,,,,8.8
284145,61.2355,20.8565,,,,,8.94
25707,61.2965,13.2967,,,,,8.15
25626,61.3011,27.6097,,,,,7.94
25669,61.3141,23.7972,,,,,8.26
25695,61.3501,23.1686,,,,,8.31
25749,61.3797,14.2863,,,,,7.3
25720,61.4032,19.9550,,,,,8.29
25694,61.4132,28.3954,,,,,9.17
285367,61.4153,17.9377,,,,,9.31
25800,61.4233,10.0371,,,,,6.72
25812,61.4704,10.9733,,,,,8.16
286513,61.4767,11.9662,,,,,10.06
25788,61.4806,15.4990,,,,,8.15
25850,61.5024,4.6941,,,,,8.8
25881,61.5139,0.8130,,,,,9.25
25768,61.5190,26.2118,,,,,7.55
283350,61.5195,24.7321,,,,,8.75
284146,61.5494,20.6683,,,,,8.32
25869,61.5544,8.5029,,,,,7.76
25825,61.5672,15.6981,,,,,7.85
25849,61.5954,14.4022,,,,,7.3
25836,61.6421,21.9565,,,,,7.89
25868,61.6558,19.1529,,,,,7.48
284149,61.6617,20.3031,,,,,9.57
286496,61.6686,13.1572,,,,,9.51
25835,61.6726,25.7221,,,,,7.99
25953,61.6731,1.6839,,,,,7.83
25824,61.6823,27.5222,,,,,7.85
25895,61.6845,17.6634,,,,,8.44
25942,61.6865,5.6868,,,,,8.51
25952,61.6992,4.8883,,,,,8.9
25951,61.7271,8.1918,,,,,7.94
285507,61.7551,15.3350,,,,,10.49
284142,61.7853,21.2629,,,,,8.76
25979,61.7864,10.7997,,,,,7.97
25894,61.7911,27.5092,,,,,8.55
25959,61.7943,13.8123,,,,,8.84
25978,61.7966,12.2682,,,,,7.7
25977,61.8282,13.5383,,,,,7.87
26015,61.9249,15.1628,,,,,6.02
284141,61.9292,21.2626,,,,,9.18
285482,61.9300,16.5188,,,,,9.94
26064,61.9396,4.3197,,,,,9.18
26065,61.9449,2.7256,,,,,8.79
26092,61.9729,4.2973,,,,,8.23
26039,61.9778,16.5306,,,,,7.6
26038,61.9976,17.3399,,,,,5.89
26105,61.9989,1.2234,,,,,9.39
26037,62.0593,22.0212,,,,,8.88
26063,62.0860,19.7376,,,,,7.69
286554,62.1111,12.1918,,,,,11.28
26129,62.1287,12.3379,,,,,8.61
26081,62.1626,25.8778,,,,,7.2
26184,62.1746,0.7830,,,,,7.94
26163,62.1754,10.0994,,,,,6.79
26173,62.1963,6.7815,,,,,9.03
26141,62.2063,17.2917,,,,,7.64
26172,62.2066,10.4637,,,,,8.76
26116,62.2156,23.8711,,,,,6.97
285527,62.2195,14.5467,,,,,10.2
26128,62.2229,23.0986,,,,,6.87
26090,62.2265,29.1907,,,,,8.27
284215,62.2308,20.3860,,,,,9.37
26171,62.2565,13.3983,,,,,5.94
26127,62.2809,27.1157,,,,,8.74
26213,62.2825,10.7652,,,,,7.51
26126,62.2858,28.6429,,,,,8.21
26257,62.2878,0.1790,,,,,7.64
285471,62.3436,17.1621,,,,,9.09
285441,62.3442,18.9067,,,,,8.63
26256,62.3634,6.7251,,,,,6.74
284169,62.3712,23.2944,,,,,9.81
285464,62.3875,17.4994,,,,,9.11
286561,62.4087,11.4674,,,,,9.14
26292,62.4292,3.3227,,,,,6.49
26212,62.4320,24.0729,,,,,7.36
26287,62.4595,10.8005,,,,,8.04
285499,62.4846,15.8681,,,,,9.9
283433,62.5086,24.0926,,,,,9.12
26312,62.5101,10.8462,,,,,7.71
283432,62.5208,24.1149,,,,,9.55
26323,62.5285,7.6979,,,,,8.64
283421,62.5385,25.1954,,,,,9.92
285444,62.5491,18.4745,,,,,8.95
285465,62.5585,17.3684,,,,,9.07
26373,62.5744,1.3464,,,,,8.23
26346,62.5830,8.4148,,,,,8.28
26334,62.5905,12.0776,,,,,8.11
284181,62.5965,22.8339,,,,,9.83
26358,62.6487,5.6149,,,,,8.64
283420,62.6495,25.3625,,,,,9.14
285513,62.6705,15.2370,,,,,8.99
26345,62.6765,18.4233,,,,,6.61
26380,62.7299,15.9467,,,,,7.18
286573,62.7464,14.2776,,,,,8.71
26439,62.7522,1.9644,,,,,8.5
26398,62.7642,16.6470,,,,,6.97
26425,62.7748,6.7185,,,,,8.77
284196,62.7854,21.8851,,,,,9.27
26448,62.7890,2.3184,,,,,7.01
26399,62.7938,15.6262,,,,,7.73
285540,62.8045,18.3799,,,,,9.66
284194,62.8409,22.0611,,,,,8.52
26397,62.9085,29.8302,,,,,8.27
26501,62.9170,5.3231,,,,,7.83
26423,62.9540,25.9839,,,,,8.74
283511,62.9639,24.4308,,,,,8.93
284163,62.9842,23.6363,,,,,9.38
283466,62.9841,27.1459,,,,,9.55
283509,63.0075,24.5682,,,,,8.17
26573,63.0386,0.7356,,,,,6.62
26478,63.0472,21.5358,,,,,8.73
284210,63.0530,20.7452,,,,,9.31
26515,63.0536,14.9324,,,,,8.61
283444,63.0889,28.4351,,,,,9.3
26514,63.1042,23.5746,,,,,7.16
26588,63.1191,4.8199,,,,,8.94
26500,63.1213,26.0457,,,,,8.71
26546,63.1306,17.2775,,,,,6.09
26583,63.1565,12.4562,,,,,9.02
285554,63.1589,17.8347,,,,,8.5
26606,63.1810,5.0309,,,,,7.29
26545,63.1947,23.5208,,,,,7.7
26598,63.1953,11.1713,,,,,8.09
286622,63.1976,10.6070,,,,,9.21
284262,63.1994,20.7352,,,,,9.17
26572,63.2044,19.5388,,,,,7.79
26571,63.2135,22.4135,,,,,6.14
26622,63.2531,9.1286,,,,,8.85
285571,63.2957,16.7668,,,,,9.15
284242,63.3083,22.9588,,,,,9.05
286578,63.3440,13.5786,,,,,10.1
26678,63.3460,2.8688,,,,,8.17
26691,63.3517,3.9022,,,,,8.1
281813,63.3519,29.1229,,,,,7.92
26677,63.3802,8.8903,,,,,6.52
26676,63.3940,10.2125,,,,,6.24
26703,63.4576,12.7537,,,,,6.25
26675,63.4961,22.7081,,,,,8.19
26721,63.5041,11.0272,,,,,7.46
283447,63.5538,28.2034,,,,,10.71
26711,63.5624,18.8940,,,,,8.14
26749,63.5762,12.3481,,,,,6.74
