hd,ra,dec,flamsteed,bayer,const,propername,mag
189397,300.0694,-12.9949,,,,,9.07
189417,300.0732,-8.6689,,,,,8.52
189325,300.0847,-23.9562,,,,,8.2
189362,300.0949,-20.8571,,,,,8.97
189326,300.1029,-25.8977,,,,,8.9
189437,300.1245,-15.8869,,,,,7.2
189398,300.1290,-19.8571,,,,,7.74
189365,300.1496,-28.5864,,,,,7.0
189465,300.1760,-18.2896,,,,,8.38
189582,300.2025,-4.3116,,,,,7.54
189418,300.2093,-24.1853,,,,,9.28
189400,300.2207,-27.1814,,,,,8.36
189419,300.2289,-26.2237,,,,,7.95
189620,300.2497,-3.7962,,,,,9.04
189558,300.2510,-12.2556,,,,,7.72
189605,300.2716,-7.3644,,,,,10.27
189559,300.2765,-13.9411,,,,,7.09
189513,300.2902,-21.4629,,,,,8.29
189606,300.2965,-11.8514,,,,,8.62
189560,300.3017,-16.5678,,,,,9.09
189540,300.3065,-21.5596,,,,,9.24
189624,300.3142,-10.7811,,,,,7.75
189607,300.3325,-14.7432,,,,,7.99
189665,300.3484,-9.4874,,,,,7.66
189561,300.3494,-22.7373,,,,,6.01
189625,300.3867,-16.8690,,,,,7.34
189542,300.3966,-29.7887,,,,,8.72
189714,300.3991,-6.3748,,,,,8.69
189739,300.4041,-1.6713,,,,,8.86
189627,300.4091,-22.1109,,,,,8.11
189759,300.4132,-0.1990,,,,,7.22
189679,300.4658,-17.5501,,,,,7.93
189698,300.5050,-19.0992,,,,,7.79
189824,300.5434,-4.8226,,,,,8.88
189825,300.5440,-4.9898,,,,,6.7
189743,300.5575,-21.0883,,,,,8.84
189852,300.5972,-7.2349,,,,,8.42
189907,300.6053,-0.8448,,,,,9.0
189827,300.6383,-15.8743,,,,,7.91
189853,300.6455,-12.7076,,,,,8.66
189923,300.6579,-3.3424,,,,,8.25
189764,300.6841,-28.3800,,,,,9.19
189962,300.6870,-0.6066,,,,,8.39
189893,300.7287,-18.5463,,,,,7.63
189947,300.7358,-8.8121,,,,,8.54
189829,300.7539,-26.0416,,,,,8.26
189948,300.7548,-9.0429,,,,,7.65
189964,300.7654,-7.6975,,,,,8.44
189987,300.7719,-6.2880,,,,,9.59
189926,300.7735,-17.3483,,,,,7.55
189927,300.8041,-18.2422,,,,,7.88
190031,300.8137,-5.7826,,,,,9.34
189965,300.8721,-22.9559,,,,,7.96
190032,300.8851,-14.3992,,,,,9.74
190033,300.8891,-15.4134,,,,,7.24
189966,300.8976,-24.5780,,,,,9.76
190009,300.9346,-22.5956,,,,,6.44
190173,301.0008,-9.1268,,,,,7.58
190174,301.0044,-9.1973,,,,,8.73
190172,301.0050,-7.4695,,,,,6.68
190079,301.0103,-24.3532,,,,,9.14
190102,301.0754,-26.3295,,,,,8.16
190103,301.1065,-27.7476,,,,,7.49
190177,301.1099,-22.1912,,,,,7.51
190158,301.1137,-23.9827,,,,,8.58
190281,301.1152,-9.4417,,,,,8.3
190264,301.1586,-14.6104,,,,,9.13
190241,301.1915,-20.5342,,,,,9.25
190178,301.2061,-28.2737,,,,,9.51
190283,301.2418,-21.3141,,,,,7.11
190388,301.2517,-10.5811,,,,,8.82
190331,301.2588,-18.7713,,,,,8.2
190367,301.2615,-11.9639,,,,,8.38
190389,301.2631,-10.7260,,,,,9.2
190390,301.2726,-11.5994,,,,,6.38
190437,301.2803,-4.3081,,,,,7.61
190285,301.3000,-26.8133,,,,,7.24
190438,301.3082,-8.1059,,,,,8.06
190304,301.3085,-25.0580,,,,,8.8
190286,301.3236,-27.8116,,,,,7.66
190416,301.3280,-12.8604,,,,,8.73
190305,301.3315,-29.0796,,,,,7.48
190453,301.3341,-6.5849,,,,,8.92
190417,301.3408,-16.3733,,,,,7.57
190350,301.3428,-22.6321,,,,,9.08
190441,301.3527,-15.6596,,,,,9.01
190455,301.4038,-17.7004,,,,,8.77
190501,301.4302,-15.4233,,,,,8.55
190500,301.4345,-13.5421,,,,,9.13
190524,301.4529,-15.7562,,,,,8.44
190540,301.5111,-18.7044,,,,,8.46
190525,301.5320,-21.0001,,,,,8.61
190664,301.5509,-4.0782,,,,,6.47
190681,301.5518,-1.7189,,,,,8.03
190527,301.5756,-29.1454,,,,,8.65
190613,301.5996,-14.9121,,,,,8.12
190595,301.6187,-20.1423,,,,,8.65
190642,301.6225,-18.3079,,,,,8.09
190617,301.6359,-21.6768,,,,,7.99
190739,301.6510,-4.4174,,,,,7.12
190577,301.6519,-25.5766,,,,,8.71
190578,301.6659,-28.3714,,,,,8.15
190723,301.6908,-12.9270,,,,,7.64
190618,301.6946,-26.4348,,,,,8.02
190740,301.7095,-12.4399,,,,,7.7
190817,301.7099,-0.1336,,,,,8.23
190619,301.7269,-29.4157,,,,,7.8
190643,301.7302,-27.2249,,,,,8.05
190774,301.7327,-8.9143,,,,,7.76
190795,301.7652,-8.1816,,,,,7.76
190756,301.7654,-17.1951,,,,,7.86
190705,301.7784,-24.7739,,,,,9.49
190873,301.7882,-0.8743,,,,,8.26
190775,301.8371,-19.5725,,,,,8.32
190925,301.8405,-0.2910,,,,,8.44
190727,301.8492,-29.7208,,,,,6.69
190821,301.9141,-20.8328,,,,,8.3
190824,301.9180,-23.8827,,,,,7.55
190876,301.9408,-19.7774,,,,,8.55
191030,302.0316,-6.7613,,,,,7.05
190979,302.0542,-18.8039,,,,,7.03
190931,302.1090,-28.8991,,,,,9.63
191049,302.1217,-15.0320,,,,,6.52
191146,302.1220,-3.6614,,,,,9.52
191087,302.1247,-10.3131,,,,,7.05
191110,302.1303,-10.0626,,,,,6.18
191069,302.1413,-15.7298,,,,,8.12
191147,302.1410,-5.1005,,,,,9.0
191068,302.1489,-14.2540,,,,,7.48
