hd,ra,dec,flamsteed,bayer,const,propername,mag
224699,0.0050,38.8593,,,,,6.61
224708,0.0353,36.5860,,,,,8.59
224720,0.0373,46.9400,,,,,7.34
236267,0.0503,50.7912,,,,,8.6
224721,0.0533,38.3040,,,,,6.53
224757,0.0961,42.1415,,,,,8.26
224756,0.0986,51.9395,,,,,9.09
224768,0.1166,54.3022,,,,,8.7
224784,0.1289,59.5597,,,,,6.18
224792,0.1737,62.1759,,,,,7.05
236270,0.1744,55.7225,,,,,9.09
236269,0.1762,53.8221,,,,,8.86
224801,0.1818,45.2533,,,,,6.36
224804,0.2014,30.3959,,,,,8.33
224803,0.2070,36.7801,,,,,8.26
224826,0.2204,66.8480,,,,,6.9
236274,0.2481,52.0806,,,,,8.85
224836,0.2604,69.6035,,,,,8.05
224837,0.2772,53.1669,,,,,7.87
224855,0.3160,60.3553,,,,,7.04
224870,0.3302,49.9816,,,,,6.22
224873,0.3486,39.6107,,,,,8.61
224881,0.3656,49.0104,,,,,8.93
224882,0.3717,30.7358,,,,,7.95
224894,0.3902,44.6754,,,,,6.82
224893,0.4042,61.2228,,,,,5.58
224892,0.4199,62.0181,,,,,8.13
224906,0.4327,42.3671,,,,,6.25
224921,0.4535,36.3504,,,,,8.47
224918,0.4538,66.3060,,,,,7.33
224939,0.4969,63.3578,,,,,8.6
224940,0.5189,59.9401,,,,,7.98
224957,0.5278,39.1832,,,,,8.58
224969,0.5496,47.5772,,,,,8.45
240475,0.5516,59.9653,,,,,8.86
224968,0.5524,49.7711,,,,,7.84
224970,0.5534,44.4283,,,,,8.86
224980,0.5738,60.7032,,,,,6.77
236280,0.5812,52.5864,,,,,8.55
236281,0.6052,54.1351,,,,,9.55
224999,0.6258,47.4229,,,,,7.62
236282,0.6270,51.8300,,,,,8.95
225012,0.6417,54.5521,,,,,8.62
225009,0.6504,66.0990,,,,,5.87
225010,0.6602,66.1004,,,,,7.2
225021,0.6670,51.4724,,,,,7.7
225022,0.6769,42.9206,,,,,7.94
225023,0.6918,35.8155,,,,,7.52
225034,0.7140,47.2523,,,,,8.27
225054,0.7589,39.9951,,,,,7.9
225064,0.7743,52.4651,,,,,8.14
225068,0.7848,42.7479,,,,,6.73
236284,0.7966,54.5158,,,,,9.53
225083,0.8321,38.2440,,,,,8.42
240485,0.8418,59.0786,,,,,8.18
225094,0.8571,63.6405,,,,,6.24
225095,0.8631,55.5509,,,,,7.94
225104,0.8662,53.3127,,,,,8.15
236286,0.8762,55.0600,,,,,8.45
225105,0.8890,42.3521,,,,,7.9
225124,0.9244,48.4369,,,,,6.8
225125,0.9351,42.0235,,,,,7.45
225136,0.9651,66.7122,,,,,6.31
225137,0.9692,57.3783,,,,,8.15
225147,0.9876,36.9703,,,,,8.44
225146,0.9896,61.1036,,,,,8.59
225160,1.0158,62.2219,,,,,8.19
225170,1.0351,56.9210,,,,,7.65
225172,1.0427,49.8702,,,,,7.38
225173,1.0439,39.1199,,,,,8.56
240489,1.0638,60.1550,,,,,8.79
225179,1.0666,65.1530,,,,,7.59
225192,1.0836,40.1099,,,,,10.66
225190,1.0887,54.2746,,,,,7.79
236288,1.1234,51.8293,,,,,9.22
225217,1.1517,43.5513,,,,,8.12
225218,1.1524,42.0925,,,,,6.11
225220,1.1670,34.2651,,,,,7.02
225216,1.1746,67.1664,,,,,5.68
225237,1.1852,51.5338,,,,,8.72
225259,1.2081,38.7862,,,,,8.46
225258,1.2117,43.9707,,,,,8.18
225260,1.2167,30.0859,,,,,7.93
236292,1.2183,51.9826,,,,,9.21
225239,1.2236,34.6598,,,,,6.09
225275,1.2253,52.2489,,,,,8.72
225257,1.2291,58.5322,,,,,6.61
240493,1.2342,56.0570,,,,,8.66
225273,1.2349,64.7814,,,,,8.15
